Bundle	Title	Location
Bundle 1	National Taiwan Normal University	AO	
Bundle 1	University of Newcastle	EU	
Bundle 1	Universidad Nacional de Salta	SA	
Bundle 1	Island University Texas A&M University Corpus Christi	NA	
Bundle 1	BT Research	XX	
Bundle 2	Robarts Research Institute	NA	
Bundle 2	Chuo University	AO	
Bundle 2	Universidade Federal de São Paulo	SA	
Bundle 2	Carl Von Ossietzky University of Oldenburg	EU	
Bundle 2	King Saud University	AF	
Bundle 3	Joong-Ang Sungha University	AO	
Bundle 3	Mayo Clinic	NA	
Bundle 3	University of Pitesti	EU	
Bundle 3	Military Technical College. Cairo	AF	
Bundle 4	University of Delhi	AO	
Bundle 4	Cray Research	NA	
Bundle 4	Istituto Dalle Molle di Studi sull'Intelligenza Artificiale	EU	
Bundle 4	Metso Minerals Industries	XX	
Bundle 5	Victoria University of Wellington	AO	
Bundle 5	Universidad de Córdoba	EU	
Bundle 5	Southeast Missouri State University	NA	
Bundle 5	Instituto Tecnologico de Conkal	SA	
Bundle 6	Wuhan University	AO	
Bundle 6	Wroclaw University of Technology	EU	
Bundle 6	Universidad Nacional de Río Cuarto	SA	
Bundle 6	Hewlett Packard	NA	
Bundle 7	Charles River Analytics	XX	
Bundle 7	Central China Normal University	AO	
Bundle 7	Rockwell Collins	NA	
Bundle 7	Fortiss	EU	
Bundle 8	Universidad de Murcia	EU	
Bundle 8	Saint Marianna University School of Medicine	AO	
Bundle 8	Indiana University/Purdue University Fort Wayne	NA	
Bundle 8	University of Campinas Brazil	SA	
Bundle 9	Shinshu University	AO	
Bundle 9	Council for Scientific and Industrial Research	AF	
Bundle 9	Agean University	EU	
Bundle 9	Corning Incorporated	NA	
Bundle 10	Agency for Science, Technology and Research Singapore	AO	
Bundle 10	Gdynia Maritime and Military University	EU	
Bundle 10	Colorado School of Mines	NA	
Bundle 10	Faculty of Electrical Engineering Gerhard-Mercator-University Duisburg	XX	
Objetive function	63.6627
