Source	Target	Type	id	Weight
1	2	Undirected	1	0
1	3	Undirected	2	0
1	4	Undirected	3	0
1	5	Undirected	4	0
1	6	Undirected	5	0
1	7	Undirected	6	0.225172
1	8	Undirected	7	0.00263551
1	9	Undirected	8	1
1	10	Undirected	9	0.209257
2	3	Undirected	10	0
2	4	Undirected	11	0
2	5	Undirected	12	0
2	6	Undirected	13	0.137361
2	7	Undirected	14	0.00786918
2	8	Undirected	15	0.171222
2	9	Undirected	16	0
2	10	Undirected	17	0.153121
3	4	Undirected	18	0
3	5	Undirected	19	0
3	6	Undirected	20	0
3	7	Undirected	21	0.267391
3	8	Undirected	22	0.087394
3	9	Undirected	23	0.141421
3	10	Undirected	24	0.0482431
4	5	Undirected	25	0
4	6	Undirected	26	0
4	7	Undirected	27	0.0281464
4	8	Undirected	28	0.013458
4	9	Undirected	29	0
4	10	Undirected	30	0.117822
5	6	Undirected	31	0
5	7	Undirected	32	0
5	8	Undirected	33	0.0269571
5	9	Undirected	34	0
5	10	Undirected	35	0.202248
6	7	Undirected	36	0.00267671
6	8	Undirected	37	0.0497783
6	9	Undirected	38	0
6	10	Undirected	39	0.129315
7	8	Undirected	40	0.0261029
7	9	Undirected	41	0.260723
7	10	Undirected	42	0.0545546
8	9	Undirected	43	0.0149684
8	10	Undirected	44	0.132262
9	10	Undirected	45	0.209257
