Bundle	ArticleId	Paper	Venue	Author
Bundle 1	2731	Equivalence analysis and its application in improving the efficiency of program slicing.	ACM Trans. Softw. Eng. Methodol.	Mary Jean Harrold, Donglin Liang	
Bundle 1	3116	Synthesizing client load models for performance engineering via web crawling.	ASE	John C. Grundy, John G. Hosking, Yuhong Cai	
Bundle 1	3821	COO: Design Process, Architectural Style, Lessons Learned.	ICSE	Hala Skaf, François Charoy, Pascal Molli, Gérôme Canals, Claude Godart	
Bundle 1	5347	Basset: a tool for systematic testing of actor programs.	SIGSOFT FSE	Gul Agha, Darko Marinov, Steven Lauterburg, Rajesh K. Karmani	
Bundle 1	8850	Mechanical Verification and Automatic Implementation of Communication Protocols.	IEEE Trans. Software Eng.	Deepinder P. Sidhu, Thomas P. Blumer	
Bundle 2	597	GUI Interaction Testing: Incorporating Event Context.	IEEE Trans. Software Eng.	Myra B. Cohen, Atif M. Memon, Xun Yuan	
Bundle 2	2678	Empirical evaluation of a nesting testability transformation for evolutionary testing.	ACM Trans. Softw. Eng. Methodol.	David Binkley, Mark Harman, Phil McMinn	
Bundle 2	3038	Unit testing concurrent software.	ASE	William Pugh, Nathaniel Ayewah	
Bundle 2	3551	Experimental program analysis: a new paradigm for program analysis.	ICSE	Joseph R. Ruthruff	
Bundle 2	5276	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 3	1356	Experiences Using Lightweight Formal Methods for Requirements Modeling.	IEEE Trans. Software Eng.	David Hamilton, Steve M. Easterbrook, Robyn R. Lutz, John Kelly, Richard Covington, Yoko Ampo	
Bundle 3	2635	Metamodel-based model conformance and multiview consistency checking.	ACM Trans. Softw. Eng. Methodol.	Jonathan S. Ostroff, Richard F. Paige, Phillip J. Brooke	
Bundle 3	2999	Automating Software Traceability in Very Small Companies: A Case Study and Lessons Learne.	ASE	Paul Grünbacher, Christian Neumuller	
Bundle 3	4220	Metrics for model driven requirements development.	ICSE	Brian Berenbach, Gail Borotto	
Bundle 3	5294	Composable semantics for model-based notations.	SIGSOFT FSE	Jianwei Niu, Joanne M. Atlee, Nancy A. Day	
Bundle 4	455	A Data Mining Approach for Detecting Higher-Level Clones in Software.	IEEE Trans. Software Eng.	Stan Jarzabek, Hamid Abdul Basit	
Bundle 4	2611	Double Iterative Framework for Flow-Sensitive Interprocedural Data Flow Analysis.	ACM Trans. Softw. Eng. Methodol.	István Forgács	
Bundle 4	3337	Visualizing clone detection results.	ASE	Jeff Gray, Robert Tairas, Ira D. Baxter	
Bundle 4	4827	ConcernLines: A timeline view of co-occurring concerns.	ICSE	Margaret-Anne D. Storey, Christoph Treude	
Bundle 5	2063	Measuring Software Dependability by Robustness Benchmarking.	IEEE Trans. Software Eng.	Daniel P. Siewiorek, Arup Mukherjee	
Bundle 5	2781	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 5	2931	Japanese Workshop on Leveraging Web2.0 Technologies in Software Development Environments (WebSDE).	ASE	Makoto Matsushita, Katsuhisa Maruyama, Shinichiro Yamamoto	
Bundle 5	4687	Information Survivability Control Systems.	ICSE	John C. Knight, Kevin J. Sullivan, Xing Du, Steve Geist	
Bundle 5	5212	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 6	2126	Explicit Communication Revisited: Two New Attacks on Authentication Protocols.	IEEE Trans. Software Eng.	Martín Abadi	
Bundle 6	3797	Component design of retargetable program analysis tools that reuse intermediate representations.	ICSE	William G. Griswold, James Hayes, Stuart Moskovics	
Bundle 6	5498	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 6	6686	Application of Formal Methods to the Development of a Software Maintenance Tool.	ASE	Philippe Facon, Sandrine Blazy	
Bundle 7	1566	Design of Multi-Invariant Data Structures for Robust Shared Accesses in Multiprocessor Systems.	IEEE Trans. Software Eng.	David J. Taylor, Farokh B. Bastani, I-Ling Yen	
Bundle 7	3205	An evaluation scheme of adaptive configuration techniques.	ASE	Salim Hariri, Huoping Chen	
Bundle 7	9480	Software Architecture Based on Communicating Residential Environments.	ICSE	Erik Sandewall, Claes Strömberg, Henrik Sörensen	
Bundle 8	2025	Software Cost Reduction Methods in Practice.	IEEE Trans. Software Eng.	James A. Hager	
Bundle 8	3455	Improving change prediction with fine-grained source code mining.	ASE	Huzefa H. Kagdi	
Bundle 8	9351	Three Paradigms for Developing Information Systems.	ICSE	Bruce I. Blum	
Bundle 9	90	Analogy-X: Providing Statistical Inference to Analogy-Based Software Cost Estimation.	IEEE Trans. Software Eng.	D. Ross Jeffery, Jacky Keung, Barbara A. Kitchenham	
Bundle 9	3630	Fraunhofer: the German model for applied research and technology transfer.	ICSE	H. Dieter Rombach	
Bundle 9	6773	An Empirical Study on Groupware Support for Software Inspection Meetings.	ASE	Stefan Biffl, Michael Halling, Paul Grünbacher	
Bundle 10	7	Grammar Recovery from Parse Trees and Metrics-Guided Grammar Refactoring.	IEEE Trans. Software Eng.	Nicholas A. Kraft, Edward B. Duffy, Brian A. Malloy	
Bundle 10	3668	Feature cohesion in software product lines: an exploratory study.	ICSE	Sven Apel, Dirk Beyer	
Bundle 10	6683	Consistency Checking in an Infrastructure for Large-Scale Generative.	ASE	Axel Rauschmayer, Alexander Knapp, Martin Wirsing	
Objetive function	46.0233
