Source	Target	Type	id	Weight
1	2	Undirected	1	1
1	3	Undirected	2	0.465348
1	4	Undirected	3	1
1	5	Undirected	4	1
1	6	Undirected	5	0.20753
1	7	Undirected	6	0.894427
1	8	Undirected	7	0.482013
1	9	Undirected	8	0.237598
1	10	Undirected	9	0.71787
2	3	Undirected	10	0.410699
2	4	Undirected	11	1
2	5	Undirected	12	1
2	6	Undirected	13	0.142948
2	7	Undirected	14	0.894427
2	8	Undirected	15	0.4741
2	9	Undirected	16	0.356006
2	10	Undirected	17	0.787839
3	4	Undirected	18	0.437442
3	5	Undirected	19	0.511588
3	6	Undirected	20	1
3	7	Undirected	21	0.509266
3	8	Undirected	22	0.853837
3	9	Undirected	23	0.51448
3	10	Undirected	24	0.46291
4	5	Undirected	25	1
4	6	Undirected	26	0.126145
4	7	Undirected	27	0.894427
4	8	Undirected	28	0.471746
4	9	Undirected	29	0.240889
4	10	Undirected	30	0.771517
5	6	Undirected	31	0.39998
5	7	Undirected	32	0.894427
5	8	Undirected	33	0.412039
5	9	Undirected	34	0.669908
5	10	Undirected	35	1
6	7	Undirected	36	0.555556
6	8	Undirected	37	0.879252
6	9	Undirected	38	0.736004
6	10	Undirected	39	0.481125
7	8	Undirected	40	0.583894
7	9	Undirected	41	0.676322
7	10	Undirected	42	1
8	9	Undirected	43	0.502076
8	10	Undirected	44	0.502399
9	10	Undirected	45	0.630037
