Bundle	Paper	Venue	Author
Bundle 1	WAM - The Weighted Average Method for Predicting the Performance of Systems with Bursts of Customer Sessions.	IEEE Trans. Software Eng.	Diwakar Krishnamurthy, Min Xu, Jerry Rolia	
Bundle 1	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 1	An Experiment to Assess the Cost-Benefits of Code Inspections in Large Scale Software Development.	SIGSOFT FSE	Lawrence G. Votta, Adam A. Porter, Harvey P. Siy, Carol A. Toman	
Bundle 1	RCAT: A Performance Analysis Tool.	ASE	Zakarya Alzamil	
Bundle 1	Test Procedures: A New Approach to Software Verification.	ICSE	David J. Panzl	
Bundle 2	Interaction Protocols as Design Abstractions for Business Processes.	IEEE Trans. Software Eng.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh, Ashok U. Mallya	
Bundle 2	A generic model for reflective design.	ACM Trans. Softw. Eng. Methodol.	Pericles Loucopoulos, Panagiotis Louridas	
Bundle 2	Test Suite Design for Code Generation Tools.	ASE	Ingo Stürmer, Mirko Conrad	
Bundle 2	Equality and hashing for (almost) free: Generating implementations from abstraction functions.	ICSE	Daniel Jackson, Derek Rayside, Aleksandar Milicevic, Joseph P. Near, Zev Benjamin, Rishabh Singh	
Bundle 2	Scalable SMT-based verification of GPU kernel functions.	SIGSOFT FSE	Ganesh Gopalakrishnan, Guodong Li	
Bundle 3	Conditions for the Equivalence of Synchronous and Asynchronous Systems.	IEEE Trans. Software Eng.	Abraham Silberschatz, Arthur J. Bernstein, Fred B. Schneider, Eralp A. Akkoyunlu	
Bundle 3	The Design and Implementation of Hierarchical Software Systems with Reusable Components.	ACM Trans. Softw. Eng. Methodol.	Don S. Batory, Sean W. O'Malley	
Bundle 3	Designing and implementing a family of intrusion detection systems.	ASE	Richard A. Kemmerer	
Bundle 3	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 3	On the Effectiveness of Set Associative Page Mapping and Its Application to Main Memory Management.	ICSE	Alan Jay Smith	
Bundle 4	Modular Operational Test Plans for Inferences on Software Reliability Based on a Markov Model.	IEEE Trans. Software Eng.	Jayant Rajgopal, Mainak Mazumdar	
Bundle 4	A generic model for reflective design.	ACM Trans. Softw. Eng. Methodol.	Pericles Loucopoulos, Panagiotis Louridas	
Bundle 4	Understanding Natural Programs Using Proper Decomposition.	ICSE	John Hartman	
Bundle 4	Resolving uncertainties during trace analysis.	SIGSOFT FSE	Alexander Egyed	
Bundle 4	Dynamic Accommodation of Change: Automated Architecture Configuration of Distributed Systems.	ASE	Michael Goedicke, Gabriele Taentzer, Torsten Meyer	
Bundle 5	Finding Clones with Dup: Analysis of an Experiment.	IEEE Trans. Software Eng.	Brenda S. Baker	
Bundle 5	Wrapper-based evolution of legacy information systems.	ACM Trans. Softw. Eng. Methodol.	Philippe Thiran, Djamal Benslimane, Jean-Luc Hainaut, Geert-Jan Houben	
Bundle 5	Modular and generic programming with interpreterlib.	ASE	Perry Alexander, Philip Weaver, Nicolas Frisby, Garrin Kimmell	
Bundle 5	Javert: fully automatic mining of general temporal properties from dynamic traces.	SIGSOFT FSE	Zhendong Su, Mark Gabel	
Bundle 5	Bridging the Gaps Between Software Engineering and Human-Computer Interaction.	ICSE	Rick Kazman, Leonard J. Bass, Jan Bosch	
Bundle 6	An Experimental Study of Software Metrics for Real-Time Software.	IEEE Trans. Software Eng.	Howard A. Jensen, K. Vairavan	
Bundle 6	Formal interpreters for diagram notations.	ACM Trans. Softw. Eng. Methodol.	Mauro Pezzè, Luciano Baresi	
Bundle 6	An evaluation scheme of adaptive configuration techniques.	ASE	Salim Hariri, Huoping Chen	
Bundle 6	Formalization and Application of a Unifying Model for Name Management.	SIGSOFT FSE	Jack C. Wileden, Alan Kaplan	
Bundle 6	Software Architecture Based on Communicating Residential Environments.	ICSE	Erik Sandewall, Claes Strömberg, Henrik Sörensen	
Bundle 7	Experience with a Software Engineering Project Course.	IEEE Trans. Software Eng.	William M. McKeeman	
Bundle 7	Model checking the Java metalocking algorithm.	ACM Trans. Softw. Eng. Methodol.	Scott A. Smolka, Samik Basu	
Bundle 7	Design Rule Hierarchies and Parallelism in Software Development Tasks.	ASE	Yuanfang Cai, Sunny Wong, Georgi Simeonov, Giuseppe Valetto, Kanwarpreet Sethi	
Bundle 7	Post-Process Feedback With and Without Attribute Focusing: A Comparative Evaluation.	ICSE	Inderpal S. Bhandari, Norman Roth	
Bundle 7	Toward a Formal Theory of Extensible Software.	SIGSOFT FSE	Shriram Krishnamurthi, Matthias Felleisen	
Bundle 8	Dynamic Scheduling of Hard Real-Time Tasks and Real-Time Threads.	IEEE Trans. Software Eng.	Karsten Schwan	
Bundle 8	Test conditions for fault classes in Boolean specifications.	ACM Trans. Softw. Eng. Methodol.	Jonathan P. Bowen, Kalpesh Kapoor	
Bundle 8	Designing and implementing a family of intrusion detection systems.	ASE	Richard A. Kemmerer	
Bundle 8	A Component- and Message-Based Architectural Style for GUI Software.	ICSE	Richard N. Taylor, Nenad Medvidovic, E. James Whitehead Jr., Kenneth M. Anderson, Jason E. Robbins	
Bundle 8	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 9	Minimizing Aperiodic Response Times in a Firm Real-Time Environment.	IEEE Trans. Software Eng.	Giorgio C. Buttazzo, Marco Caccamo	
Bundle 9	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 9	Service Substitution Revisited.	ASE	Valérie Issarny, Apostolos Zarras, Dionysis Athanasopoulos	
Bundle 9	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 9	A Scenario-Driven Approach to Traceability.	ICSE	Alexander Egyed	
Bundle 10	Steady-State Probabilities for a Queue with a General Service Distribution and State-Dependent Arrivals.	IEEE Trans. Software Eng.	Raymond A. Marie, Jean M. Pellaumail	
Bundle 10	Verifying security protocols with Brutus.	ACM Trans. Softw. Eng. Methodol.	Edmund M. Clarke, Somesh Jha, Wilfredo R. Marrero	
Bundle 10	Validating Automotive Control Software Using Instrumentation-Based Verification.	ASE	Rance Cleaveland, Arnab Ray, Chris Martin, Charles P. Shelton, Iris Morschhaeuser, Christopher Ackermann	
Bundle 10	On the difficulty of replicating human subjects studies in software engineering.	ICSE	Steve M. Easterbrook, Jonathan Lung, Gregory V. Wilson, Jorge Aranda	
Bundle 10	Relevancy based semantic interoperation of reuse repositories.	SIGSOFT FSE	Lu Zhang 0023, Fuqing Yang, Ying Pan, Lei Wang, Bing Xie	
Objetive function	27.8404
