Source	Target	Type	id	Weight
1	2	Undirected	1	0.0829527
1	3	Undirected	2	0.140271
1	4	Undirected	3	0.160382
1	5	Undirected	4	0.163404
1	6	Undirected	5	0.485171
1	7	Undirected	6	0.311359
1	8	Undirected	7	0.157262
1	9	Undirected	8	0.351052
1	10	Undirected	9	1
2	3	Undirected	10	0.308914
2	4	Undirected	11	0.333333
2	5	Undirected	12	0.3849
2	6	Undirected	13	0.342997
2	7	Undirected	14	1
2	8	Undirected	15	0.359513
2	9	Undirected	16	0.707107
2	10	Undirected	17	0.295698
3	4	Undirected	18	0.210415
3	5	Undirected	19	0.244625
3	6	Undirected	20	0.245486
3	7	Undirected	21	0.183529
3	8	Undirected	22	0.368482
3	9	Undirected	23	0.309002
3	10	Undirected	24	0.330145
4	5	Undirected	25	0.57735
4	6	Undirected	26	0.402565
4	7	Undirected	27	0.249276
4	8	Undirected	28	0.682574
4	9	Undirected	29	0.336538
4	10	Undirected	30	0.295698
5	6	Undirected	31	0.447214
5	7	Undirected	32	0.383789
5	8	Undirected	33	0.894427
5	9	Undirected	34	0.527333
5	10	Undirected	35	0.80819
6	7	Undirected	36	0.168607
6	8	Undirected	37	0.218796
6	9	Undirected	38	0.564582
6	10	Undirected	39	0.367787
7	8	Undirected	40	0.174209
7	9	Undirected	41	0.3831
7	10	Undirected	42	0.2975
8	9	Undirected	43	0.215271
8	10	Undirected	44	0.330145
9	10	Undirected	45	0.0635892
