0	Dynamic Scheduling of Hard Real-Time Tasks and Real-Time Threads.
1	A Testing Framework for Mobile Computing Software.
2	Mawl: A Domain-Specific Language for Form-Based Services.
3	Grammar Recovery from Parse Trees and Metrics-Guided Grammar Refactoring.
4	Validating the ISO/IEC 15504 Measure of Software Requirements Analysis Process Capability.
5	Discovering Architectures from Running Systems.
6	An Extension of Nortons's Theorem for Queueing Networks.
7	Numerical Analysis of Superposed GSPNs.
8	PSL/PSA: A Computer Aided Technique for Structured Documentation and Analysis of Information Processing Systems.
9	Optimal Partitioning of Random Programs Across two Processors.
10	Methods for the Measurement of Memory Utilization and the Improvement of Program Locality.
11	Distributed Simulation: A Case Study in Design and Verification of Distributed Programs.
12	An Empirical Study of Test Case Filtering Techniques Based on Exercising Information Flows.
13	Environment Evolution: The Prism Model of Changes.
14	The Accuracy of the Clock Synchronization Achieved by TEMPO in Berkeley UNIX 4.3BSD.
15	A Formally Verified Application-Level Framework for Real-Time Scheduling on POSIX Real-Time Operating Systems.
16	Rapid Transaction-Undo Recovery Using Twin-Page Storage Management.
17	Synthesis of Decision-Free Concurrent Systems for Prescribed Resources and Performance.
18	Automatic Synthesis of SARA Design Models From System Requirements.
19	Independent Recovery in Large-Scale Distributed Systems.
20	Comments on Program Slicing.
21	Methodology for Business System Development.
22	A New Verification Rule and Its Applications.
23	Software Development Productivity of European Space, Military, and Industrial Applications.
24	Communication Metrics for Software Development.
25	A Visual Language Compiler.
26	Automated Software Test Data Generation.
27	Real-Time Behavior of Programs.
28	Learning Communicating Automata from MSCs.
29	A UML-Based Pattern Specification Technique.
30	On Parallel Processing Systems: Amdahl's Law Generalized and Some Results on Optimal Design.
31	Performance Comparison of Three Modern DBMS Architectures.
32	A Framework for Model-Based Design of Agent-Oriented Software.
33	The Study of a New Perfect Hash Scheme.
34	Exception Handlers in Functional Programming Languages.
35	The Influence of Different Workload Descriptions on a Heuristic Load Balancing Scheme.
36	An Empirical Study of the Complex Relationships between Requirements Engineering Processes and Other Processes that Lead to Payoffs in Productivity, Quality, and Risk Management.
37	Design and Specification of Iterators Using the Swapping Paradigm.
38	Identifying Failure Causes in Java Programs: An Application of Change Impact Analysis.
39	Scheduling Tasks with Resource Requirements in Hard Real-Time Systems.
40	The Model Multiplicity Problem: Experimenting with Real-Time Specification Methods.
41	Resilient Extended True-Copy Token Scheme for a Distributed Database System.
42	Impact of Budget and Schedule Pressure on Software Development Cycle Time and Effort.
43	Partition Analysis: A Method Combining Testing and Verification.
44	An Argument in Favor of Mechanized Software Production.
45	Implementing Remote Evaluation.
46	Optimal Load Balancing in a Multiple Processor System with Many Job Classes.
47	Interface Grammars for Modular Software Model Checking.
48	Modeling and Analysis of Distributed Database Concurrency Control Algorithms Using an Extended Petri Net Formalism.
49	Enhancing the Security of Statistical Databases with a Question-Answering System and a Kernel Design.
50	A Unified High-Level Petri Net Formalism for Time-Critical Systems.
51	The Location Based Paradigm for Replication: Achieving Efficiency and Availability in Distributed Systems.
52	Validating a Demonstration Tool for Graphics-Assisted Debugging of Ada Concurrent Programs.
53	On the Optimal Total Processing Time Using Checkpoints.
54	A Formal Analysis of the Fault-Detecting Ability of Testing Methods.
55	Criteria for Software Reliability Model Comparisons.
56	Experience Using Web-Based Shotgun Measures for Large-System Characterization and Improvement.
57	Performance of Storage Management in an Implementation of SNOBOL4.
58	Identifying High Performance ERP Projects.
59	Performance Analysis of Concurrency Control Using Locking with Deferred Blocking.
60	A Statistical Approach to the Inspection Checklist Formal Synthesis and Improvement.
61	RSF: A Formalism for Executable Requirement Specifications.
62	The Object-Oriented Functional Data Language.
63	A Model of Code Sharing for Estimating Software Failure on Demand Probabilities.
64	An Application of a Method for Analysis of Cyclic Programs.
65	A Uniform Presentation of Confidentiality Properties.
66	A Pessimistic Consistency Control Algorithm for Replicated Files which Achieves High Availability.
67	Software Architecture Reconstruction: A Process-Oriented Taxonomy.
68	An Exercise in Automatic Program Verification.
69	Lock Conversion in Non-Two-Phase Locking Protocols.
70	Verifying security protocols with Brutus.
71	TACCLE: a methodology for object-oriented software testing at the class and cluster levels.
72	A Time-Sensitive Object Model for Real-Time Systems.
73	A Visual Model for Ada Tasking.
74	Distributed Real-Time System Specification and Verification in APTL.
75	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.
76	Impact of software engineering research on the practice of software configuration management.
77	A Meta-Environment for Generating Programming Environments.
78	Reengineering of Configurations Based on Mathematical Concept Analysis.
79	Mixin layers: an object-oriented implementation technique for refinements and collaboration-based designs.
80	Reifying Variants in Configuration Management.
81	Conjunction as Composition.
82	A generic model for reflective design.
83	Reasoning about static and dynamic properties in alloy: A purely relational approach.
84	Reasoning about inconsistencies in natural language requirements.
85	Graph Models for Reachability of Concurrent Programs.
86	An Evolutionary Approach to Constructing Effective Software Reuse Repositories.
87	The role of outcome feedback in improving the uncertainty assessment of software development effort estimates.
88	Test conditions for fault classes in Boolean specifications.
89	Discovering Models of Software Processes from Event-Based Data.
90	Modeling software architectures in the Unified Modeling Language.
91	Double Iterative Framework for Flow-Sensitive Interprocedural Data Flow Analysis.
92	Architecting families of software systems with process algebras.
93	OBSERV - A Prototyping Language and Environment.
94	An inheritance-based technique for building simulation proofs incrementally.
95	An extended fault class hierarchy for specification-based testing.
96	Program Integration for Languages with Procedure Calls.
97	Unified Versioning Through Feature Logic.
98	Retrieving Reusable Software by Sampling Behaviour.
99	Topology analysis of software dependencies.
100	Modular aspect-oriented design with XPIs.
101	Understanding the Sources of Variation in Software Inspections.
102	Designing and comparing automated test oracles for GUI-based software applications.
103	Formal interpreters for diagram notations.
104	Semantic parameterization: A process for modeling domain descriptions.
105	Recovering traceability links in software artifact management systems using information retrieval methods.
106	Metamodel-based model conformance and multiview consistency checking.
107	Law-governed interaction: a coordination and control mechanism for heterogeneous distributed systems.
108	Using a pilot study to derive a GUI model for automated testing.
109	Designing data marts for data warehouses.
110	Generating Testing and Analysis Tools with Aria.
111	A Program Integration Algorithm that Accommodates Semantics-Preserving Transformations.
112	Automatic high-quality reengineering of database programs by abstraction, transformation and reimplementation.
113	Unifying aspect- and object-oriented design.
114	Aspect: Detecting Bugs with Abstract Dependences.
115	Coupling and cohesion metrics for knowledge-based systems using frames and rules.
116	The Design and Implementation of Hierarchical Software Systems with Reusable Components.
117	A framework and tool support for the systematic testing of model-based specifications.
118	The ASTOOT Approach to Testing Object-Oriented Programs.
119	An empirical investigation of software reuse benefits in a large telecom product.
120	Software Process Modeling and Execution Within Virtual Environments.
121	A Safe, Efficient Regression Test Selection Technique.
122	Fault classes and error detection capability of specification-based testing.
123	DSD-Crasher: A hybrid analysis tool for bug finding.
124	Protecting privacy using the decentralized label model.
125	Runtime Verification for LTL and TLTL.
126	Address translation in telecommunication features.
127	Behavior-consistent specialization of object life cycles.
128	Breaking up is hard to do: An evaluation of automated assume-guarantee reasoning.
129	Parallel changes in large-scale software development: an observational case study.
130	Formalizing Style to Understand Descriptions of Software Architecture.
131	Model checking the Java metalocking algorithm.
132	Wrapper-based evolution of legacy information systems.
133	A comparative study of coarse- and fine-grained safe regression test-selection techniques.
134	Applying GQM in an Industrial Software Factory.
135	Flexible consistency checking.
136	Composition and Refinement of Discrte Real-Time Systems.
137	Mobile UNITY: Reasoning and Specification in Mobile Computing.
138	Context Constraints for Compositional Reachability Analysis.
139	Building Integrated Software Development Environments Part I: Tool Specification.
140	A lightweight approach for program analysis and debugging.
141	Modeling ontologies as executable domain specific languages.
142	Distributed software development projects: work breakdown approaches to overcome key coordination challenges.
143	Modeling and Verification of Distributed Real-Time Systems Based on CafeOBJ.
144	A unified fitness function calculation rule for flag conditions to improve evolutionary testing.
145	The power of software.
146	Enabling Iterative Software Architecture Derivation Using Early Non-Functional Property Evaluation.
147	Bogor/Kiasan: A k-bounded Symbolic Execution for Checking Strong Heap Properties of Open Systems.
148	A dynamic birthmark for java.
149	Automated Comprehension Tasks in Software Exploration.
150	A Specification Language for Static Analysis of Student Exercises.
151	Monitoring Programs Using Rewriting.
152	On CASE Tool Usage at Nokia.
153	VUML : a Viewpoint oriented UML Extension.
154	TestEra: A Novel Framework for Automated Testing of Java Programs.
155	Automated gui testing guided by usage profiles.
156	Automatically Restructuring Programs for the We.
157	Concolic testing.
158	MTSA: The Modal Transition System Analyser.
159	DESERT: a decentralized monitoring tool generator.
160	A Verification-Driven Approach to Traceability and Documentation for Auto-Generated Mathematical Software.
161	Towards Usable and Relevant Model Checking Techniques for the Analysis of Dependable Interactive Systems.
162	Security Specification and Verification.
