Bundle	Author	Affiliation
Bundle 1	Hugh Robinson	Open University UK	
Bundle 1	Simon M. Kaplan	Queensland University of Technology	
Bundle 1	Thomas Pawlitzki	University of Passau	
Bundle 1	Chang Hwan Peter Kim	University of Texas Austin	
Bundle 1	Nicolas Mangano	University of California Irvine	
Bundle 2	Ikuo Oyake	OKI Electric Industry Company	
Bundle 2	René Meier	University of Dublin Trinity College	
Bundle 2	Norio Shiratori	Tohoku University	
Bundle 2	Kaoru Takahashi	Sendai National College of Technology	
Bundle 2	Yao-Xue Zhang	Tsinghua University China	
Bundle 3	Ann Kedia		
Bundle 3	Christian Denger	Fraunhofer Society	
Bundle 3	Michael Breen	Centro de Regulación Genómica	
Bundle 3	D. G. Henderson	Robert Gordon University	
Bundle 3	L. S. Sellers	Computer Science Corporation	
Bundle 4	John A. Dallen	United States Military Academy	
Bundle 4	Moshe I. Ben-Porat		
Bundle 4	James P. McGill	University of Southern California	
Bundle 4	Edward L. Robertson	Indiana University	
Bundle 4	James E. Burns	Georgia Institute of Technology	
Bundle 5	Georg Heidenreich	Technical University Munich	
Bundle 5	Kathryn T. Stolee	University of Nebraska Lincoln	
Bundle 5	Augusto Ciuffoletti	University of Pisa	
Bundle 5	Ronald J. Brachman	Yahoo Research Labs	
Bundle 5	Bruce W. Ballard	Stephens College	
Bundle 6	Josef Skrzypek	University of California Los Angeles	
Bundle 6	Juan Pavón	Universidad Complutense de Madrid	
Bundle 6	Cesar Gonzalez-Perez	Spanish National Research Council	
Bundle 6	Ghassan Beydoun	University of Wollongong	
Bundle 6	Haralambos Mouratidis	University of East London	
Bundle 7	Brian Ritchie		
Bundle 7	Sanjeev Dharap	Pennsylvania State University	
Bundle 7	Benjamin Arazi	Ben Gurion University of the Negev	
Bundle 7	Peter A. Lindsay	University of Queensland	
Bundle 7	Jan Magott	Wroclaw University of Technology	
Bundle 8	Pinata Winoto	Konkuk University	
Bundle 8	Yao Guo	Peking University	
Bundle 8	Danfeng Zhang	Cornell University	
Bundle 8	Eytan Adar	University of Michigan	
Bundle 8	Dean Nelson	Walt Disney Imagineering	
Bundle 9	Hoi S. Wong	University of Adelaide	
Bundle 9	Sam Pohlenz		
Bundle 9	Jian Yu	University of Maryland	
Bundle 9	Halvard Skogsrud	University of New South Wales	
Bundle 9	Dalal Alrajeh	Imperial College London	
Bundle 10	David W. Desormeau		
Bundle 10	Milton W. Green	SRI International	
Bundle 10	N. Murakami	Shizuoka University	
Bundle 10	D. R. Miller	Mayo Clinic	
Bundle 10	A. Sofer	George Mason University	
Objetive function 	83.5
