Source	Target	Type	id	Weight
1	2	Undirected	1	0.351588
1	3	Undirected	2	0.563769
1	4	Undirected	3	0.362055
1	5	Undirected	4	0.622233
1	6	Undirected	5	0.340882
1	7	Undirected	6	0.501114
1	8	Undirected	7	1
1	9	Undirected	8	0.266468
1	10	Undirected	9	1
2	3	Undirected	10	0.210442
2	4	Undirected	11	0.555206
2	5	Undirected	12	0.563833
2	6	Undirected	13	0.925109
2	7	Undirected	14	0.473468
2	8	Undirected	15	0.669441
2	9	Undirected	16	1
2	10	Undirected	17	0.850395
3	4	Undirected	18	0.4
3	5	Undirected	19	0.317814
3	6	Undirected	20	0.255515
3	7	Undirected	21	0.316227
3	8	Undirected	22	0.15273
3	9	Undirected	23	0.849965
3	10	Undirected	24	0.894427
4	5	Undirected	25	0.504009
4	6	Undirected	26	0.324444
4	7	Undirected	27	0.707107
4	8	Undirected	28	0.670292
4	9	Undirected	29	0.29898
4	10	Undirected	30	0.707107
5	6	Undirected	31	0.347998
5	7	Undirected	32	0.71133
5	8	Undirected	33	0.806615
5	9	Undirected	34	0.553551
5	10	Undirected	35	0.71133
6	7	Undirected	36	0.0725352
6	8	Undirected	37	0.361119
6	9	Undirected	38	0.925109
6	10	Undirected	39	0.858169
7	8	Undirected	40	0.826038
7	9	Undirected	41	0.355216
7	10	Undirected	42	1
8	9	Undirected	43	0.616469
8	10	Undirected	44	1
9	10	Undirected	45	0.850395
