Bundle	Author	Affiliation
Bundle 1	Steven J. Zeil	Old Dominion University	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Huoping Chen	University of Arizona	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 2	Richard Gerber	University of Maryland	
Bundle 2	Wolfgang Strigel	Software Productivity Center	
Bundle 2	Betsy Clark	University of Southern California	
Bundle 2	Thomas Grechenig	Vienna University of Technology	
Bundle 2	Roseanne Tesoriero	Fraunhofer Center for Experimental Software Engineering Maryland	
Bundle 3	Leah Goldin	University College London	
Bundle 3	Amir Tomer	Technion Israel Institute of Technology	
Bundle 3	Hong Va Leong	Hong Kong Polytechnic University	
Bundle 3	Brice Morin	The French National Institute for Research in Computer Science and Control	
Bundle 3	Sebastian Meyer	University of Hamburg	
Bundle 4	Jürg Rebsamen		
Bundle 4	Carl August Zehnder	Swiss Federal Institute of Technology Zurich	
Bundle 4	Matteo Sereno	Università degli Studi di Torino	
Bundle 4	Kalervo Järvelin	University of Tampere	
Bundle 4	Cristóvão Oliveira	Universidade Nova de Lisboa	
Bundle 5	Kevin J. Sullivan	University of Virginia	
Bundle 5	Cara L. Holman		
Bundle 5	Gérald Lévy	Cadence Berkeley Labs	
Bundle 5	Wang Hong	University of Manchester	
Bundle 5	Witold Litwin	Paris Dauphine University	
Bundle 6	Marco Caccamo	University of Illinois Urbana Champaign	
Bundle 6	Michael Breu	Universität Innsbruck	
Bundle 6	Alexander P. Pons	University of Miami	
Bundle 6	Jörg P. Wadsack	University of Paderborn	
Bundle 6	Alina Andreevskaia	Concordia University	
Bundle 7	Tanton H. Gibbs	Clemson University	
Bundle 7	Aldeida Aleti	Swinburne University of Technology	
Bundle 7	Elodie Rose		
Bundle 7	Sébastien Ville	INRIA	
Bundle 7	Jesper Andersen	Department of Datalogy	
Bundle 8	Frank A. Feldman		
Bundle 8	Raul Medina-Mora	Vision Mexico	
Bundle 8	Judy H. Moore	Imperial College London	
Bundle 8	Gustavus J. Simmons	Sandia National Laboratories	
Bundle 8	Erik Sandewall	Linköping University	
Bundle 9	Friedemann Mattern	Swiss Federal Institute of Technology Zurich	
Bundle 9	Wojciech Szermer	Oakland University	
Bundle 9	Daricha Sutivong	Chulalongkorn University	
Bundle 9	Francisco Durán	Universidad de Málaga	
Bundle 9	Armando Fox	University of California Berkeley	
Bundle 10	Shige Wang	University of Michigan	
Bundle 10	James Arthur	University of Toronto	
Bundle 10	Daniel Port	National Aeronautics and Space Administration, United States	
Bundle 10	Angelo Susi	Fondazione Bruno Kessler	
Bundle 10	Mirco Dotta	École Polytechnique Fédérale de Lausanne	
Objetive function 	20.8068
