Bundle	Author	Affiliation
Bundle 1	Lucia Rapanotti	Open University UK	
Bundle 1	James Dooley	City University London	
Bundle 1	Olivier Ridoux	Institut de Recherche en Informatique et Systèmes Aléatoires	
Bundle 1	Anne Hee Hiong Ngu	University of New South Wales	
Bundle 1	Zakaria Maamar	Zayed University	
Bundle 1	Hoi S. Wong	University of Adelaide	
Bundle 1	Sam Pohlenz		
Bundle 1	Jian Yu	University of Maryland	
Bundle 1	Dalal Alrajeh	Imperial College London	
Bundle 1	M. Hagemann	Karlsruher Institute of Technology	
Bundle 2	Eugenio Capra	Politecnico di Milano	
Bundle 2	Christian Seybold	Universität Zürich	
Bundle 2	Lenore Huffman		
Bundle 2	Christian Graf	Fraunhofer Society	
Bundle 2	Michael Breen	Centro de Regulación Genómica	
Bundle 2	D. G. Henderson	Robert Gordon University	
Bundle 2	L. S. Sellers	Computer Science Corporation	
Bundle 2	Yong Yang	Chinese Academy of Sciences	
Bundle 2	Lei Bian	Nanjing University of Science & Technology	
Bundle 2	Beatriz Mascia Daltrini	Universidade Estadual de Campinas	
Bundle 3	Ning Nan	University of Oklahoma	
Bundle 3	Donald E. Harter	Carnegie Mellon University	
Bundle 3	Kim Man Lui	Hong Kong Polytechnic University	
Bundle 3	Torgeir Dingsøyr	Sintef Foundation for Scientific and Industrial Research at the Norwegian Institute of Technology	
Bundle 3	Randall S. Janka	Georgia Institute of Technology	
Bundle 3	Alexander P. Pons	University of Miami	
Bundle 3	Jude Fernandez		
Bundle 3	Raquel Blanco	Universidad de Oviedo	
Bundle 3	Minna Pikkarainen	Technical Research Centre of Finland	
Bundle 3	Stanislaw Jarzabek	National University of Singapore	
Bundle 4	Felix Chun Hang Li	University of Western Ontario	
Bundle 4	Phil McMinn	University of Sheffield	
Bundle 4	Sharon Shoham	Technion Israel Institute of Technology	
Bundle 4	Nirmal R. Saxena	Stanford University	
Bundle 4	Jonathan P. Bowen	London South Bank University	
Bundle 4	Kalpesh Kapoor	ERNET India	
Bundle 4	Yudong Huang	Harbin Institute of Technology	
Bundle 4	Joshua Geiger	University of Pittsburgh	
Bundle 4	Adam M. Smith	University of California Santa Cruz	
Bundle 4	William Pugh	University of Maryland	
Bundle 5	P. S. Thiagarajan	National University of Singapore	
Bundle 5	David Walker	Princeton University	
Bundle 5	Lujo Bauer	Carnegie Mellon University	
Bundle 5	Jay Ligatti	University of South Florida	
Bundle 5	M. G. Rakesh		
Bundle 5	Neha Rungta	National Aeronautics and Space Administration, United States	
Bundle 5	Yanhong A. Liu	Stony Brook University	
Bundle 5	Jingyu Yan	Chinese University of Hong Kong	
Bundle 5	Christopher Wolfe	Queen's University Kingston	
Bundle 5	Julian Ball	University of Southampton	
Bundle 6	Dimitris Saougkos		
Bundle 6	François Charoy	Laboratoire Lorrain de Recherche en Informatique et Ses Applications	
Bundle 6	Johannes Osrael	Vienna University of Technology	
Bundle 6	Alfred L. Brown	University of Adelaide	
Bundle 6	Alan Dearle	University of Saint Andrews	
Bundle 6	Malcolm P. Atkinson	University of Edinburgh	
Bundle 6	H. Zhang	Carnegie Mellon University	
Bundle 6	X. Cai	University of Oslo	
Bundle 6	X. Huang	Leigh University	
Bundle 6	Rajiv Tewari	Temple University	
Bundle 7	R. R. Oldehoeft	Colorado State University	
Bundle 7	Laurent Réveillère		
Bundle 7	William S. Jewell	University of California Berkeley	
Bundle 7	Raymond P. L. Buse	University of Virginia	
Bundle 7	Andrew Mohan	University of Manchester	
Bundle 7	Nicolas E. Gold	University College London	
Bundle 7	Geppino Pucci	Università degli Studi di Padova	
Bundle 7	Carlos Urias Munoz	IBM	
Bundle 7	Samar Mouchawrab	Carleton University	
Bundle 7	Ramadan Moawad	Military Technical College. Cairo	
Bundle 8	Sandro Boccuzzo	Universität Zürich	
Bundle 8	Divya Muppaneni	University of Delaware	
Bundle 8	Noriko Hanakawa	Hannan University	
Bundle 8	David Kawrykow	McGill University	
Bundle 8	Rick Mugridge	University of Auckland	
Bundle 8	Paul Kendall	University of North Texas	
Bundle 8	Bruce Gifford	Portland State University	
Bundle 8	Borislav Nikolik	University of Oregon	
Bundle 8	Stefan Jähnichen	Technical University of Berlin	
Bundle 8	Matthias Weber	Indiana University	
Bundle 9	David Auty		
Bundle 9	Beatrice Lazzerini	University of Pisa	
Bundle 9	Paolo Ancilotti	Scuola Superiore Sant'Anna	
Bundle 9	Norma Lijtmaer	University of Parma	
Bundle 9	Robert L. Probert	University of Ottawa	
Bundle 9	Rakesh Jha	University of Minnesota	
Bundle 9	J. Michael Kamrad II	University of Utah	
Bundle 9	Thomas J. LeBlanc	University of Miami	
Bundle 9	John J. Shilling	Georgia Institute of Technology	
Bundle 9	John I. A. Urquhart	National Aeronautics and Space Administration, United States	
Bundle 10	John A. Dallen	United States Military Academy	
Bundle 10	Moshe I. Ben-Porat		
Bundle 10	James P. McGill	University of Southern California	
Bundle 10	Edward L. Robertson	Indiana University	
Bundle 10	James E. Burns	Georgia Institute of Technology	
Bundle 10	William M. McKeeman	Dartmouth College	
Bundle 10	Andrew Martin	University of Oxford	
Bundle 10	Sunny Wong	Drexel University	
Bundle 10	Kenji Taguchi	National Institute of Informatics	
Bundle 10	Rachel K. E. Bellamy	IBM	
Bundle 11	Matthew Stephan	Queen's University	
Bundle 11	Reda Bendraou	Laboratoire d'Informatique de Paris 6	
Bundle 11	Sayed Atef Banawan		
Bundle 11	Donald P. Pazel	Google Inc.	
Bundle 11	Harry M. Markowitz	IBM	
Bundle 11	Christian Creveuil	IRISA	
Bundle 11	Hamid Bagheri	University of Virginia	
Bundle 11	Jun Huh	University of Auckland	
Bundle 11	Louis M. Rose	University of York	
Bundle 11	Stefan Sauer	University of Paderborn	
Bundle 12	Pinata Winoto	Konkuk University	
Bundle 12	Yao Guo	Peking University	
Bundle 12	Danfeng Zhang	Cornell University	
Bundle 12	Eytan Adar	University of Michigan	
Bundle 12	Dean Nelson	Walt Disney Imagineering	
Bundle 12	Jamie Dinkelacker	Google Inc.	
Bundle 12	Rob Miller 0003	University College London	
Bundle 12	Masahiro Imagawa		
Bundle 12	Shuuma Morimoto	Hitachi	
Bundle 12	Eric Bush	Kestrel Technology	
Bundle 13	Wolf D. Itzfeldt	Institut fur Software Technologie Bonn	
Bundle 13	Salvatore Cavalieri	Università degli Studi di Catania	
Bundle 13	David R. Wallace	Massachusetts Institute of Technology	
Bundle 13	Takaaki Tateishi	IBM	
Bundle 13	Robert S. Brewer	University of Hawaii System	
Bundle 13	Mieke Massink	Consiglio Nazionale delle Ricerche	
Bundle 13	Alessandro Forghieri	Università di Bologna	
Bundle 13	Maurizio Sebastianis	University of Toronto	
Bundle 13	Christian Jahl		
Bundle 13	Alina Andreevskaia	Concordia University	
Bundle 14	Thomas Ellman	Vassar College	
Bundle 14	Andreas S. Andreou	Cyprus University of Technology	
Bundle 14	Efi Papatheocharous	University of Cyprus	
Bundle 14	Marilyn W. Bush	National Aeronautics and Space Administration, United States	
Bundle 14	Jon Siegel	Object Management Group	
Bundle 14	Nathan D. Ryan	University of Colorado Boulder	
Bundle 14	Mohammad El-Ramly	University of Leicester	
Bundle 14	Roland Penner		
Bundle 14	Bin Chen	Chinese Academy of Sciences	
Bundle 14	Jean-Louis Giavitto	UMR9912 Sciences et Technologies de la Musique et du Son	
Bundle 15	Jorge J. Gómez-Sanz	Universidad Complutense de Madrid	
Bundle 15	John L. Clevenger	University of California Davis	
Bundle 15	Paolino Di Felice	Università degli Studi dell'Aquila	
Bundle 15	Wamberto Weber Vasconcelos	University of Aberdeen	
Bundle 15	Marc Esteva	Consejo Superior de Investigaciones Científicas	
Bundle 15	Jon Bowyer	University of Dundee	
Bundle 15	Biplav Srivastava	IBM	
Bundle 15	David Janzen	California Polytechnic State University	
Bundle 15	Hossein Saiedian	University of Kansas	
Bundle 15	Bart De Win	Catholic University of Leuven	
Bundle 16	John McPherson	IBM	
Bundle 16	Fred M. Tonge	Rand Corporation	
Bundle 16	Abdel Aziz Farrag	Dalhousie University	
Bundle 16	Sampath Rangarajan	NEC	
Bundle 16	Hong Va Leong	Hong Kong Polytechnic University	
Bundle 16	Eugene Y. C. Wong	University of Sydney	
Bundle 16	Robin Williams	University of Edinburgh	
Bundle 16	Gary M. Giddings	University of California Santa Barbara	
Bundle 16	David L. Wells		
Bundle 16	David J. Linton	San José State University	
Bundle 17	Daniel Conte de Leon	University of Idaho	
Bundle 17	Leila Naslavsky	University of California Irvine	
Bundle 17	Rahmat Adnan	Delft University of Technology	
Bundle 17	Damiano Distante	Università degli Studi di Roma La Sapienza	
Bundle 17	Ioana Rus	University of Maryland	
Bundle 17	Lasse Warholm		
Bundle 17	René Klösch	Vienna University of Technology	
Bundle 17	Donald J. Reifer	Argonne Leadership Computing Facility	
Bundle 17	Wilhelm Hasselbring	Carl Von Ossietzky University of Oldenburg	
Bundle 17	Thorsten Teschke	University of Bremen	
Bundle 18	Paul Emberson	University of York	
Bundle 18	Mika Mäntylä	Helsinki University of Technology	
Bundle 18	Richard A. Baker Jr.		
Bundle 18	Gregory V. Wilson	University of Toronto	
Bundle 18	Cat Kutay	University of New South Wales	
Bundle 18	Colin Connaughton	IBM	
Bundle 18	William T. Councill	Worcester Polytechnic Institute	
Bundle 18	Roger G. Fordham	Motorola Inc.	
Bundle 18	Michael Hirsch	Brunel University	
Bundle 18	Timothy W. Larson	National Aeronautics and Space Administration, United States	
Bundle 19	Garrin Kimmell	University of Kansas	
Bundle 19	Mayumi Takahashi		
Bundle 19	Hideto Ogasawara	Saint Marianna University School of Medicine	
Bundle 19	Kevin D. Wentzel	HP Labs	
Bundle 19	Leticia Duboc	University College London	
Bundle 19	Michael Wasmund	IBM	
Bundle 19	Carsten Amelunxen	Darmstadt University of Technology	
Bundle 19	Atsushi Yamada	Kyoto University	
Bundle 19	Kevin J. Hoffman	Purdue University	
Bundle 19	James Newkirk	ThoughtWorks	
Bundle 20	Raymond M. Bryant	University of Wisconsin Madison	
Bundle 20	Jeffrey R. Spirn	Pennsylvania State University	
Bundle 20	Jean M. Pellaumail		
Bundle 20	Maurice H. Halstead	Purdue University	
Bundle 20	Giuliano Casale	Imperial College London	
Bundle 20	Lalit M. Patnaik	ERNET India	
Bundle 20	Raif O. Onvural	AT&T Bell Laboratories	
Bundle 20	Charles H. Sauer	IBM	
Bundle 20	Min Xu	Dalian University of Technology	
