Bundle	Author	Affiliation
Bundle 1	David Harel	Weizmann Institute of Science	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 1	Mark G. Matthews	The MITRE Corporation	
Bundle 2	Kenji Taguchi	National Institute of Informatics	
Bundle 2	Ipek Ozkaya	Carnegie Mellon University	
Bundle 2	Donald J. Bagert	Southeast Missouri State University	
Bundle 2	David Klappholz	Stevens Institute of Technology	
Bundle 2	Hans Schaller		
Bundle 3	Je-Hao Wang	University of Minnesota	
Bundle 3	Nicholas C. K. Phillips	Southern Illinois University	
Bundle 3	Sampath Rangarajan	NEC	
Bundle 3	Daniel G. Bobrow	Palo Alto Research Center	
Bundle 3	Qing Yang	National Research Council Canada	
Bundle 4	Glenn H. MacEwen	Queen's University	
Bundle 4	Georg Handzel		
Bundle 4	Gregory Zelesnik	Carnegie Mellon University	
Bundle 4	Eralp A. Akkoyunlu	New York University	
Bundle 4	Allan L. Mennie	University of Alberta	
Bundle 5	Nancy E. Rallis	Boston College	
Bundle 5	Barry E. Jacobs	National Aeronautics and Space Administration, United States	
Bundle 5	Susan C. Murphy		
Bundle 5	Donald Firesmith	Carnegie Mellon University	
Bundle 5	Janet R. Dunham	research triangle institute of north carolina	
Bundle 6	Jeong A. Kang		
Bundle 6	Stephan Diehl	Saarland University	
Bundle 6	Tullio Vardanega	Università degli Studi di Padova	
Bundle 6	P. White	University of Manchester	
Bundle 6	A. Goldberg	University of California Berkeley	
Bundle 7	Chunyang Ye	University of Toronto	
Bundle 7	Rakesh Jha	University of Minnesota	
Bundle 7	Dennis T. Cornhill		
Bundle 7	J. Michael Kamrad II	University of Utah	
Bundle 7	Markku Hakala	Tampere University of Technology	
Bundle 8	Peng Wu 0002	HP Labs	
Bundle 8	Gethin Norman	University of Glasgow	
Bundle 8	Catuscia Palamidessi	École Polytechnique (France)	
Bundle 8	Augusto Sampaio	Universidade Federal de Pernambuco	
Bundle 8	Klaus Grimm	Artemis	
Bundle 9	Norman C. Hutchinson	University of British Columbia	
Bundle 9	Xiangqun Chen	Peking University	
Bundle 9	Rob Miller 0003	University College London	
Bundle 9	Shuuma Morimoto	Hitachi	
Bundle 9	Louis Feng	Darmstadt University of Technology	
Bundle 10	Nancy E. Rallis	Boston College	
Bundle 10	Cynthia A. Walczak	National Institutes of  Health	
Bundle 10	Susan C. Murphy		
Bundle 10	Sebastian Höhn	University of Fribourg	
Bundle 10	Janet R. Dunham	research triangle institute of north carolina	
Objetive function 	57.74
