Bundle	Author	Affiliation
Bundle 1	Nancy E. Rallis	Boston College	
Bundle 1	Cynthia A. Walczak	National Institutes of  Health	
Bundle 1	Susan C. Murphy		
Bundle 1	Sebastian Höhn	University of Fribourg	
Bundle 1	Janet R. Dunham	research triangle institute of north carolina	
Bundle 2	Juan Pavón	Universidad Complutense de Madrid	
Bundle 2	Cesar Gonzalez-Perez	Spanish National Research Council	
Bundle 2	Ghassan Beydoun	University of Wollongong	
Bundle 2	Haralambos Mouratidis	University of East London	
Bundle 2	Dinko Ivanov		
Bundle 3	Gian Pietro Picco	Università degli Studi di Trento	
Bundle 3	Stuart Moskovics	University of California San Diego	
Bundle 3	Andreas Sewe	Darmstadt University of Technology	
Bundle 3	Philippe Facon	Conservatoire National des Arts et Métiers	
Bundle 3	Sandrine Blazy	École Nationale Supérieure d'Informatique pour l'Entreprise et l'Industrie	
Bundle 4	Valérie Issarny	The French National Institute for Research in Computer Science and Control	
Bundle 4	Lucas Layman	University of Maryland	
Bundle 4	Betsy Clark	University of Southern California	
Bundle 4	Thomas Grechenig	Vienna University of Technology	
Bundle 4	Jennifer Hetzl		
Bundle 5	Mayez A. Al-Mouhamed	King Fahd University of Petroleum & Minerals	
Bundle 5	Kaoru Takahashi	Sendai National College of Technology	
Bundle 5	Shoichi Noguchi	Tohoku University	
Bundle 5	Jon D. Valett	National Aeronautics and Space Administration, United States	
Bundle 5	Keiichi Yasumoto	Nara Institute of Science & Technology	
Bundle 6	Jit Biswas	Agency for Science, Technology and Research Singapore	
Bundle 6	Guy Bernard	Vanderbilt University	
Bundle 6	J. S. Marron	University of North Carolina Chapel Hill	
Bundle 6	Konstantinos Blekas	University of Ioannina	
Bundle 6	Peter J. Bailey	University of Glasgow	
Bundle 7	Donald E. Knuth	Stanford University	
Bundle 7	Christophe Lohr	Laboratory of Analysis and Architecture of Systems	
Bundle 7	Jongmoon Baik	Korea Advanced Institute of Science & Technology	
Bundle 7	Zsigmond Pap		
Bundle 7	András Pataricza	Budapest University of Technology and Economics	
Bundle 8	Jeffrey S. Foster	University of Maryland	
Bundle 8	David Wonnacott	Haverford College	
Bundle 8	Chen Fu	Harbin Institute of Technology	
Bundle 8	Scott McMaster	McMaster University	
Bundle 8	Jon Bowyer	University of Dundee	
Bundle 9	Frank A. Feldman		
Bundle 9	G. Michael Schneider	Macalester College	
Bundle 9	P. White	University of Manchester	
Bundle 9	A. Goldberg	University of California Berkeley	
Bundle 9	W. Martin	University of Michigan	
Bundle 10	Zohar Manna	Stanford University	
Bundle 10	Frank A. Feldman		
Bundle 10	Huoping Chen	University of Arizona	
Bundle 10	Claes Strömberg	Linköping University	
Bundle 10	Henrik Sörensen	University of Pennsylvania	
Objetive function 	41.0119
