Bundle	Author	Affiliation
Bundle 1	David Harel	Weizmann Institute of Science	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 1	Mark G. Matthews	The MITRE Corporation	
Bundle 2	Harald Würges		
Bundle 2	George I. Davida	University of Wisconsin Madison	
Bundle 2	C. Russel Szelag	University of Wisconsin Milwaukee	
Bundle 2	Scott D. Fleming	Oregon State University	
Bundle 2	Geoff Staples	Southampton Solent University	
Bundle 3	Kenji Taguchi	National Institute of Informatics	
Bundle 3	Ipek Ozkaya	Carnegie Mellon University	
Bundle 3	Donald J. Bagert	Southeast Missouri State University	
Bundle 3	David Klappholz	Stevens Institute of Technology	
Bundle 3	Hans Schaller		
Bundle 4	Giorgio C. Buttazzo	Scuola Superiore Sant'Anna	
Bundle 4	Marco Caccamo	University of Illinois Urbana Champaign	
Bundle 4	Andrew P. Moore	CERT Network Situational Awareness Group	
Bundle 4	Murali Rangarajan	The Boeing Company	
Bundle 4	R. R. Willis		
Bundle 5	Nancy E. Rallis	Boston College	
Bundle 5	Barry E. Jacobs	National Aeronautics and Space Administration, United States	
Bundle 5	Susan C. Murphy		
Bundle 5	Donald Firesmith	Carnegie Mellon University	
Bundle 5	Janet R. Dunham	research triangle institute of north carolina	
Bundle 6	Chunyang Ye	University of Toronto	
Bundle 6	Rakesh Jha	University of Minnesota	
Bundle 6	Dennis T. Cornhill		
Bundle 6	J. Michael Kamrad II	University of Utah	
Bundle 6	Markku Hakala	Tampere University of Technology	
Bundle 7	Norman C. Hutchinson	University of British Columbia	
Bundle 7	Xiangqun Chen	Peking University	
Bundle 7	Rob Miller 0003	University College London	
Bundle 7	Shuuma Morimoto	Hitachi	
Bundle 7	Louis Feng	Darmstadt University of Technology	
Bundle 8	Peng Wu 0002	HP Labs	
Bundle 8	Gethin Norman	University of Glasgow	
Bundle 8	Catuscia Palamidessi	École Polytechnique (France)	
Bundle 8	Augusto Sampaio	Universidade Federal de Pernambuco	
Bundle 8	Klaus Grimm	Artemis	
Bundle 9	Juan Pavón	Universidad Complutense de Madrid	
Bundle 9	Cesar Gonzalez-Perez	Spanish National Research Council	
Bundle 9	Ghassan Beydoun	University of Wollongong	
Bundle 9	Haralambos Mouratidis	University of East London	
Bundle 9	Marin Orlic		
Bundle 10	Angelo Susi	Fondazione Bruno Kessler	
Bundle 10	Claes Strömberg	Linköping University	
Bundle 10	Henrik Sörensen	University of Pennsylvania	
Bundle 10	Samuel D. Conte	University of California Davis	
Bundle 10	Mark G. Matthews	The MITRE Corporation	
Objetive function 	53.0972
