Bundle	Author	Affiliation
Bundle 1	Yoheved Dotan	Ben Gurion University of the Negev	
Bundle 1	Carolyn B. Seaman	University of Maryland Baltimore County	
Bundle 1	Mahmoud Said	Western Michigan University	
Bundle 1	Chao Wang	Chinese Academy of Sciences	
Bundle 1	Randal E. Bryant	Carnegie Mellon University	
Bundle 2	Harald Würges		
Bundle 2	George I. Davida	University of Wisconsin Madison	
Bundle 2	C. Russel Szelag	University of Wisconsin Milwaukee	
Bundle 2	Scott D. Fleming	Oregon State University	
Bundle 2	Geoff Staples	Southampton Solent University	
Bundle 3	Takeshi Ogihara		
Bundle 3	William Schell	Montana State University	
Bundle 3	Gérald Lévy	Cadence Berkeley Labs	
Bundle 3	Wang Hong	University of Manchester	
Bundle 3	Witold Litwin	Paris Dauphine University	
Bundle 4	Chan-Gun Lee	University of Texas Austin	
Bundle 4	Nicolas E. Gold	University College London	
Bundle 4	Wanchai Rivepiboon	Chulalongkorn University	
Bundle 4	Raymund Sison	De la Salle University Manila	
Bundle 4	Siew Hock Ow	University of Malaya	
Bundle 5	Salvatore Cavalieri	Università degli Studi di Catania	
Bundle 5	Jan Stelovsky	University of Hawaii System	
Bundle 5	Kurt M. Olender	University of Colorado Boulder	
Bundle 5	Angelo Susi	Fondazione Bruno Kessler	
Bundle 5	Elizabeth Kruesi	General Electrics	
Bundle 6	James E. Allchin	Georgia Institute of Technology	
Bundle 6	David Rozenshtein	Rutgers, The State University of New Jersey	
Bundle 6	Jacob Stein	Brown University	
Bundle 6	David Maier	Portland State University	
Bundle 6	Takeshi Tanaka	Kyushu University	
Bundle 7	Stefan Biffl	Vienna University of Technology	
Bundle 7	Jeffrey S. Poulin	Ohio State University	
Bundle 7	Walter Cazzola	Università degli Studi di Milano	
Bundle 7	Lasse Warholm		
Bundle 7	Wilfried Grossmann	Universit?§t Wien	
Bundle 8	Adam C. Winstanley	National University of Ireland Maynooth	
Bundle 8	Yingfei Xiong	University of Waterloo	
Bundle 8	Sam Malek	Lille1 University	
Bundle 8	Danfeng Zhang	Cornell University	
Bundle 8	Xiangqun Chen	Peking University	
Bundle 9	Indrakshi Ray	Colorado State University	
Bundle 9	Siv Hilde Houmb	Norwegian University of Science & Technology	
Bundle 9	Behzad Bordbar	University of Birmingham	
Bundle 9	Mangala Gowri Nanda	IBM	
Bundle 9	Kathryn T. Stolee	University of Nebraska Lincoln	
Bundle 10	Betsy Clark	University of Southern California	
Bundle 10	Thomas Grechenig	Vienna University of Technology	
Bundle 10	Jennifer Hetzl		
Bundle 10	Vu Ha	Microsoft	
Bundle 10	Yoshihiro Matsumoto	NEC	
Objetive function 	34.5657
