Bundle	Author	Affiliation
Bundle 1	David Harel	Weizmann Institute of Science	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 1	Mark G. Matthews	The MITRE Corporation	
Bundle 2	Harald Würges		
Bundle 2	George I. Davida	University of Wisconsin Madison	
Bundle 2	C. Russel Szelag	University of Wisconsin Milwaukee	
Bundle 2	Scott D. Fleming	Oregon State University	
Bundle 2	Geoff Staples	Southampton Solent University	
Bundle 3	Kenji Taguchi	National Institute of Informatics	
Bundle 3	Ipek Ozkaya	Carnegie Mellon University	
Bundle 3	Donald J. Bagert	Southeast Missouri State University	
Bundle 3	David Klappholz	Stevens Institute of Technology	
Bundle 3	Hans Schaller		
Bundle 4	Giorgio C. Buttazzo	Scuola Superiore Sant'Anna	
Bundle 4	Marco Caccamo	University of Illinois Urbana Champaign	
Bundle 4	Andrew P. Moore	CERT Network Situational Awareness Group	
Bundle 4	Murali Rangarajan	The Boeing Company	
Bundle 4	R. R. Willis		
Bundle 5	Nancy E. Rallis	Boston College	
Bundle 5	Barry E. Jacobs	National Aeronautics and Space Administration, United States	
Bundle 5	Susan C. Murphy		
Bundle 5	Donald Firesmith	Carnegie Mellon University	
Bundle 5	Janet R. Dunham	research triangle institute of north carolina	
Bundle 6	Chunyang Ye	University of Toronto	
Bundle 6	Rakesh Jha	University of Minnesota	
Bundle 6	Dennis T. Cornhill		
Bundle 6	J. Michael Kamrad II	University of Utah	
Bundle 6	Markku Hakala	Tampere University of Technology	
Bundle 7	Dennis Gannon	Microsoft	
Bundle 7	Kyle Gallivan	Florida State University	
Bundle 7	William Jalby	Université de Versailles Saint Quentin en Yvelines	
Bundle 7	Rajesh K. Karmani	University of Illinois Urbana Champaign	
Bundle 7	C. C. Walton	University of Manchester	
Bundle 8	Peng Wu 0002	HP Labs	
Bundle 8	Gethin Norman	University of Glasgow	
Bundle 8	Catuscia Palamidessi	École Polytechnique (France)	
Bundle 8	Augusto Sampaio	Universidade Federal de Pernambuco	
Bundle 8	Klaus Grimm	Artemis	
Bundle 9	Angelo Susi	Fondazione Bruno Kessler	
Bundle 9	Huoping Chen	University of Arizona	
Bundle 9	Erik Sandewall	Linköping University	
Bundle 9	Henrik Sörensen	University of Pennsylvania	
Bundle 9	David B. Johnson	Rice University	
Bundle 10	Sanjay Bhansali	University of South Florida	
Bundle 10	Thomas Grechenig	Vienna University of Technology	
Bundle 10	Jennifer Hetzl		
Bundle 10	Miroslaw Staron	University of Gothenburg	
Bundle 10	Andrew Simpson	University of Oxford	
Objetive function 	44.0043
