Bundle	Author	Affiliation
Bundle 1	Gerhard Fischer	University of Colorado Boulder	
Bundle 1	Glenn H. MacEwen	Queen's University	
Bundle 1	Fred B. Schneider	Cornell University	
Bundle 1	Eralp A. Akkoyunlu	New York University	
Bundle 1	Cara L. Holman		
Bundle 2	Jan Stelovsky	University of Hawaii System	
Bundle 2	Sangmok Han	Massachusetts Institute of Technology	
Bundle 2	Alessandro Forghieri	Università di Bologna	
Bundle 2	G. Beretta	HP Labs	
Bundle 2	C. Drey		
Bundle 3	Gregory R. Andrews	University of Arizona	
Bundle 3	Adam C. Winstanley	National University of Ireland Maynooth	
Bundle 3	Cornelius Ncube	Bournemouth University	
Bundle 3	Daniel Kerkow	Technical University of Kaiserslautern	
Bundle 3	Jörg Dörr	Fraunhofer Society	
Bundle 4	J. C. Huang	National Chiao Tung University, Taiwan	
Bundle 4	Frank A. Feldman		
Bundle 4	Charles H. Sauer	IBM	
Bundle 4	Alexandre Brandwajn	University of California Santa Cruz	
Bundle 4	J. S. Licwinko	AT&T Bell Laboratories	
Bundle 5	Shigeru Yamada	Tottori University	
Bundle 5	Toru Niwa	OMRON Corporation	
Bundle 5	Alec Dorling		
Bundle 5	Yingxu Wang	University of Calgary	
Bundle 5	Dilip Patel	London South Bank University	
Bundle 6	Laurent Réveillère		
Bundle 6	Harry A. G. Wijshoff	Leiden University	
Bundle 6	Dennis Gannon	Microsoft	
Bundle 6	Kyle Gallivan	Florida State University	
Bundle 6	Heung Seok Chae	Pusan National University	
Bundle 7	Linda M. Ottenstein	Michigan Technological University	
Bundle 7	Charles Zhang	Motorola Inc.	
Bundle 7	Gérald Lévy	Cadence Berkeley Labs	
Bundle 7	Wang Hong	University of Manchester	
Bundle 7	Mark G. Matthews	The MITRE Corporation	
Bundle 8	Michael Stonebraker	Massachusetts Institute of Technology	
Bundle 8	Jeff Gray	University of Alabama	
Bundle 8	Piotr Luczycki		
Bundle 8	John Field	Purdue University	
Bundle 8	King Chun Foo	Queen's University Kingston	
Bundle 9	Alexandre Brandwajn	University of California Santa Cruz	
Bundle 9	M. Mantione	Politecnico di Milano	
Bundle 9	Thomas Grechenig	Vienna University of Technology	
Bundle 9	Miroslaw Staron	University of Gothenburg	
Bundle 9	Roseanne Tesoriero	Fraunhofer Center for Experimental Software Engineering Maryland	
Bundle 10	Frank A. Feldman		
Bundle 10	Gary S. Ho	University of California Berkeley	
Bundle 10	Pinata Winoto	Konkuk University	
Bundle 10	Judy H. Moore	Imperial College London	
Bundle 10	Gustavus J. Simmons	Sandia National Laboratories	
Objetive function 	33.6794
