Bundle	Author	Affiliation
Bundle 1	David Harel	Weizmann Institute of Science	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 1	Mark G. Matthews	The MITRE Corporation	
Bundle 2	Harald Würges		
Bundle 2	George I. Davida	University of Wisconsin Madison	
Bundle 2	C. Russel Szelag	University of Wisconsin Milwaukee	
Bundle 2	Scott D. Fleming	Oregon State University	
Bundle 2	Geoff Staples	Southampton Solent University	
Bundle 3	Kenji Taguchi	National Institute of Informatics	
Bundle 3	Ipek Ozkaya	Carnegie Mellon University	
Bundle 3	Donald J. Bagert	Southeast Missouri State University	
Bundle 3	David Klappholz	Stevens Institute of Technology	
Bundle 3	Hans Schaller		
Bundle 4	Giorgio C. Buttazzo	Scuola Superiore Sant'Anna	
Bundle 4	Marco Caccamo	University of Illinois Urbana Champaign	
Bundle 4	Andrew P. Moore	CERT Network Situational Awareness Group	
Bundle 4	Murali Rangarajan	The Boeing Company	
Bundle 4	R. R. Willis		
Bundle 5	Dennis Gannon	Microsoft	
Bundle 5	Kyle Gallivan	Florida State University	
Bundle 5	William Jalby	Université de Versailles Saint Quentin en Yvelines	
Bundle 5	Rajesh K. Karmani	University of Illinois Urbana Champaign	
Bundle 5	C. C. Walton	University of Manchester	
Bundle 6	Chang Hwan Peter Kim	University of Texas Austin	
Bundle 6	Norman Roth	University of Wisconsin Madison	
Bundle 6	Hannes Kegel		
Bundle 6	Alastair Reid	University of Michigan	
Bundle 6	Luke Wildman	University of Queensland	
Bundle 7	Nancy E. Rallis	Boston College	
Bundle 7	Barry E. Jacobs	National Aeronautics and Space Administration, United States	
Bundle 7	Susan C. Murphy		
Bundle 7	Donald Firesmith	Carnegie Mellon University	
Bundle 7	Janet R. Dunham	research triangle institute of north carolina	
Bundle 8	Hong Zhu	Oxford Brookes University	
Bundle 8	Steve Hughes	National Aeronautics and Space Administration, United States	
Bundle 8	Dean Nelson	Walt Disney Imagineering	
Bundle 8	Jamie Dinkelacker	Google Inc.	
Bundle 8	Kouji Matsusita	Hitachi	
Bundle 9	Takeshi Ogihara		
Bundle 9	Doron Peled	University of Warwick	
Bundle 9	Gérald Lévy	Cadence Berkeley Labs	
Bundle 9	Wang Hong	University of Manchester	
Bundle 9	Witold Litwin	Paris Dauphine University	
Bundle 10	Kenji Taguchi	National Institute of Informatics	
Bundle 10	Ipek Ozkaya	Carnegie Mellon University	
Bundle 10	Donald J. Bagert	Southeast Missouri State University	
Bundle 10	David Klappholz	Stevens Institute of Technology	
Bundle 10	A. P. Spirk		
Objetive function 	39.9767
