Bundle	Author	Affiliation
Bundle 1	Alain Kurinckx	IRIA/LABORIA	
Bundle 1	Glenn H. MacEwen	Queen's University	
Bundle 1	Allan L. Mennie	University of Alberta	
Bundle 1	Udo Hahn	University of Jena	
Bundle 1	Cara L. Holman		
Bundle 2	Juan Pavón	Universidad Complutense de Madrid	
Bundle 2	Cesar Gonzalez-Perez	Spanish National Research Council	
Bundle 2	Ghassan Beydoun	University of Wollongong	
Bundle 2	Rob A. Rutenbar	University of Illinois Urbana Champaign	
Bundle 2	Hermann Stoeckle	University of Auckland	
Bundle 3	Ilkka J. Haikala	Tampere University of Technology	
Bundle 3	Timo O. Alanko	Jyväskylä University	
Bundle 3	Hannu Erkiö	Helsinki University of Technology	
Bundle 3	Cristóvão Oliveira	Universidade Nova de Lisboa	
Bundle 3	Hui-Chu Chu		
Bundle 4	Nicola Serra	École Polytechnique Fédérale de Lausanne	
Bundle 4	Orlena Gotel	Pace University	
Bundle 4	András Pataricza	Budapest University of Technology and Economics	
Bundle 4	Gabriele Taentzer	Philipps University Marburg	
Bundle 4	Stefan Hänsgen	Technical University of Berlin	
Bundle 5	David Chenho Kung	Saint Mary's College of Maryland	
Bundle 5	Tullio Vardanega	Università degli Studi di Padova	
Bundle 5	Murali Rangarajan	The Boeing Company	
Bundle 5	Darren D. Cofer	Rockwell Collins	
Bundle 5	Atri Indiresan	Cisco Systems, Inc	
Bundle 6	Yoheved Dotan	Ben Gurion University of the Negev	
Bundle 6	Carolyn B. Seaman	University of Maryland Baltimore County	
Bundle 6	Mahmoud Said	Western Michigan University	
Bundle 6	Chao Wang	Chinese Academy of Sciences	
Bundle 6	Randal E. Bryant	Carnegie Mellon University	
Bundle 7	Jong-hoon (David) An	University of Maryland	
Bundle 7	Gilles Ardourel	University of Nantes	
Bundle 7	Marianne Huchard	Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellier	
Bundle 7	David Glasser		
Bundle 7	Stephanie Ludi	Rochester Institute of Technology	
Bundle 8	E. James Whitehead Jr.	University of California Santa Cruz	
Bundle 8	Alain Kurinckx	IRIA/LABORIA	
Bundle 8	Warwick S. Ford		
Bundle 8	Fred B. Schneider	Cornell University	
Bundle 8	Allan L. Mennie	University of Alberta	
Bundle 9	James P. Huang	The Boeing Company	
Bundle 9	Gérald Lévy	Cadence Berkeley Labs	
Bundle 9	Wang Hong	University of Manchester	
Bundle 9	Witold Litwin	Paris Dauphine University	
Bundle 9	J. M. Scanlon		
Bundle 10	Toshihiro Kamiya	Future University-Hakodate	
Bundle 10	Pakorn Waewsawangwong	Imperial College London	
Bundle 10	John R. Mashey	Pennsylvania State University	
Bundle 10	Ted A. Dolotta		
Bundle 10	Geoff Staples	Southampton Solent University	
Objetive function 	35.4411
