Bundle	Author	Affiliation
Bundle 1	Hugh Robinson	Open University UK	
Bundle 1	Simon M. Kaplan	Queensland University of Technology	
Bundle 1	Thomas Pawlitzki	University of Passau	
Bundle 1	Chang Hwan Peter Kim	University of Texas Austin	
Bundle 1	Nicolas Mangano	University of California Irvine	
Bundle 2	Quan Z. Sheng	University of Adelaide	
Bundle 2	M. Hagemann	Karlsruher Institute of Technology	
Bundle 2	Kaizhi Yue	University of Southern California	
Bundle 2	Khaled Mahbub	City University London	
Bundle 2	Jennifer Tenzer	University of Edinburgh	
Bundle 3	Carl August Zehnder	Swiss Federal Institute of Technology Zurich	
Bundle 3	Wiebren de Jonge	VU University of Amsterdam	
Bundle 3	Lorin Hochstein	University of Southern California	
Bundle 3	Detlef Kips	University of Erlangen Nuremberg	
Bundle 3	Mark Minas	University of the Bundeswehr Munich	
Bundle 4	David W. Desormeau		
Bundle 4	Milton W. Green	SRI International	
Bundle 4	N. Murakami	Shizuoka University	
Bundle 4	D. R. Miller	Mayo Clinic	
Bundle 4	A. Sofer	George Mason University	
Bundle 5	P. S. Thiagarajan	National University of Singapore	
Bundle 5	David Walker	Princeton University	
Bundle 5	Lujo Bauer	Carnegie Mellon University	
Bundle 5	Jay Ligatti	University of South Florida	
Bundle 5	M. G. Rakesh		
Bundle 6	Matthias Weber	Indiana University	
Bundle 6	Viktor Friesen	Technical University of Berlin	
Bundle 6	Kunihiko Ikeda	Kyoto University	
Bundle 6	Toru Niwa	OMRON Corporation	
Bundle 6	Richard Wettel	Università della Svizzera Italiana	
Bundle 7	Ganesh J. Pai	National Aeronautics and Space Administration, United States	
Bundle 7	Rob A. Rutenbar	University of Illinois Urbana Champaign	
Bundle 7	Dorothy E. Setliff	University of Pittsburgh	
Bundle 7	H. M. Harmain	United Arab Emirates University	
Bundle 7	Robert J. Gaizauskas	University of Sheffield	
Bundle 8	Efstathios Stamatatos	University of the Aegean	
Bundle 8	Sokratis K. Katsikas	University of Piraeus	
Bundle 8	Qing Yang	National Research Council Canada	
Bundle 8	HongXing Liu	McMicken College	
Bundle 8	YanSheng Lu	Huazhong University of Science & Technology	
Bundle 9	Ann Kedia		
Bundle 9	Christian Denger	Fraunhofer Society	
Bundle 9	Michael Breen	Centro de Regulación Genómica	
Bundle 9	D. G. Henderson	Robert Gordon University	
Bundle 9	L. S. Sellers	Computer Science Corporation	
Bundle 10	Nathan D. Ryan	University of Colorado Boulder	
Bundle 10	Mohammad El-Ramly	University of Leicester	
Bundle 10	Roland Penner		
Bundle 10	Bin Chen	Chinese Academy of Sciences	
Bundle 10	Jean-Louis Giavitto	UMR9912 Sciences et Technologies de la Musique et du Son	
Objetive function 	50.5
