Bundle	Paper	Venue	Author
Bundle 1	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 1	Automated Support for Encapsulating Abstract Data Types.	SIGSOFT FSE	Robert W. Bowdidge, William G. Griswold	
Bundle 1	Petri Net Performance Models.	IEEE Trans. Software Eng.	Guy Juanole	
Bundle 1	RCAT: A Performance Analysis Tool.	ASE	Zakarya Alzamil	
Bundle 1	An Introduction to the Programmer's Workbench.	ICSE	John R. Mashey, Ted A. Dolotta	
Bundle 2	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 2	Reducing the Cost of Path Property Monitoring Through Sampling.	ASE	Sebastian G. Elbaum, Matthew B. Dwyer, Madeline Diep	
Bundle 2	An Empirical Study of Communication in Code Inspections.	ICSE	Victor R. Basili, Carolyn B. Seaman	
Bundle 2	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 2	Guest Editor's Introduction Formal Methods in Software Engineering.	IEEE Trans. Software Eng.	Nancy G. Leveson	
Bundle 3	Temporal abstract classes and virtual temporal specifications for real-time systems.	ACM Trans. Softw. Eng. Methodol.	Alexander P. Pons	
Bundle 3	Distributed software development projects: work breakdown approaches to overcome key coordination challenges.	ICSE	Jude Fernandez, Sanjay Mohan	
Bundle 3	On CASE Tool Usage at Nokia.	ASE	Alessandro Maccari, Claudio Riva, Francesco Maccari	
Bundle 3	Integrating Status and Event Phenomena in Formal Specifications of Interactive Systems.	SIGSOFT FSE	Gregory D. Abowd, Alan J. Dix	
Bundle 3	Reuse of Software Through Generation of Partial Systems.	IEEE Trans. Software Eng.	Franz-Josef Polster	
Bundle 4	Efficient Analysis of DynAlloy Specifications.	ACM Trans. Softw. Eng. Methodol.	Nazareno Aguirre, Marcelo F. Frias, Carlos López Pombo, Juan P. Galeotti	
Bundle 4	A context-sensitive structural heuristic for guided search model checking.	ASE	Neha Rungta, Eric G. Mercer	
Bundle 4	Dealing with Non-Functional Requirements: Three Experimental Studies of a Process-Oriented Approach.	ICSE	Brian A. Nixon, Lawrence Chung	
Bundle 4	Architectural primitives for distribution and mobility.	SIGSOFT FSE	José Luiz Fiadeiro, Michel Wermelinger, Antónia Lopes	
Bundle 4	A Rational Design Process: How and Why to Fake it.	IEEE Trans. Software Eng.	David Lorge Parnas, Paul C. Clements	
Bundle 5	SLAN-4 - A Software Specification and Design Language.	IEEE Trans. Software Eng.	Otthein Herzog, Friedrich W. Beichter, Heiko Petzsch	
Bundle 5	An empirical investigation of software reuse benefits in a large telecom product.	ACM Trans. Softw. Eng. Methodol.	Reidar Conradi, Parastoo Mohagheghi	
Bundle 5	Using return on investment to compare agile and plan-driven practices in undergraduate group projects.	ICSE	R. G. Dewar, P. J. Rundle	
Bundle 5	Relevancy based semantic interoperation of reuse repositories.	SIGSOFT FSE	Lu Zhang 0023, Fuqing Yang, Ying Pan, Lei Wang, Bing Xie	
Bundle 5	An Empirical Study of the Evolution of a Software System.	ASE	Rachel Harrison, Brian Warboys, R. Mark Greenwood, Peter Henderson	
Bundle 6	An Approach to Distributed Computing System Software Design.	IEEE Trans. Software Eng.	Sol M. Shatz, Stephen S. Yau, Chen-Chau Yang	
