Bundle	Paper	Venue	Author
Bundle 1	An Exercise in Automatic Program Verification.	IEEE Trans. Software Eng.	Wolfgang Polak	
Bundle 1	Parallel and Distributed Incremental Attribute Evaluation Algorithms for Multiuser Software Development Environments.	ACM Trans. Softw. Eng. Methodol.	Gail E. Kaiser, Simon M. Kaplan	
Bundle 1	AGATE, Access Graph-Based Tools for Handling Encapsulation.	ASE	Gilles Ardourel, Marianne Huchard	
Bundle 1	Listening to programmers - Taxonomies and characteristics of comments in operating system code.	ICSE	Yuanyuan Zhou, Yoann Padioleau, Lin Tan	
Bundle 1	A scalable technique for characterizing the usage of temporaries in framework-intensive Java applications.	SIGSOFT FSE	Barbara G. Ryder, Bruno Dufour, Gary Sevitsky	
Bundle 2	Learning Communicating Automata from MSCs.	IEEE Trans. Software Eng.	Benedikt Bollig, Martin Leucker, Carsten Kern, Joost-Pieter Katoen	
Bundle 2	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 2	A lightweight approach for program analysis and debugging.	ICSE	M. G. Rakesh	
Bundle 2	DESERT: a decentralized monitoring tool generator.	ASE	Paola Inverardi, Leonardo Mostarda	
Bundle 2	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 3	Interface Grammars for Modular Software Model Checking.	IEEE Trans. Software Eng.	Tevfik Bultan, Graham Hughes	
Bundle 3	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 3	Japanese Workshop on Leveraging Web2.0 Technologies in Software Development Environments (WebSDE).	ASE	Makoto Matsushita, Katsuhisa Maruyama, Shinichiro Yamamoto	
Bundle 3	Architectures and Technologies for Enterprise Application Integration.	ICSE	Ian Gorton, Anna Liu	
Bundle 3	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 4	Comments on Program Slicing.	IEEE Trans. Software Eng.	Hareton K. N. Leung, Hassan K. Reghbati	
Bundle 4	Software reuse for scientific computing through program generation.	ACM Trans. Softw. Eng. Methodol.	Martin Erwig, Zhe Fu	
Bundle 4	Automatic Generation of Content Management Systems from EER-Based Specifications.	ASE	Sebastiano Vigna	
