Bundle	ArticleId	Paper	Venue	Author
Bundle 1	2686	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 1	5491	Efficient online monitoring of web-service SLAs.	SIGSOFT FSE	James Skene, Franco Raimondi, Wolfgang Emmerich	
Bundle 1	6540	Petri Net Performance Models.	IEEE Trans. Software Eng.	Guy Juanole	
Bundle 1	6657	RCAT: A Performance Analysis Tool.	ASE	Zakarya Alzamil	
Bundle 1	10236	An Introduction to the Programmer's Workbench.	ICSE	John R. Mashey, Ted A. Dolotta	
Bundle 2	1648	Test Synthesis from UML Models of Distributed Software.	IEEE Trans. Software Eng.	Yves Le Traon, Jean-Marc Jézéquel, Claude Jard, Simon Pickin, Thierry Jéron	
Bundle 2	2724	Coordinating Rule-Based Software Processes with ESP.	ACM Trans. Softw. Eng. Methodol.	Paolo Ciancarini	
Bundle 2	5399	Triggered message sequence charts.	SIGSOFT FSE	Bikram Sengupta, Rance Cleaveland	
Bundle 2	6794	Property-Oriented Test Generation from UML Statecharts.	ASE	Zhi-Chang Qi, Ji Wang, Shuhao Li	
Bundle 2	10143	A Program Complexity Metric Based on Data Flow Information in Control Graphs.	ICSE	Kuo-Chung Tai	
Bundle 3	944	Reversible Debugging Using Program Instrumentation.	IEEE Trans. Software Eng.	W. Kent Fuchs, Shyh-Kwei Chen, Jen-Yao Chung	
Bundle 3	2857	Symbolic model checking of UML activity diagrams.	ACM Trans. Softw. Eng. Methodol.	Rik Eshuis	
Bundle 3	3444	Validating Automotive Control Software Using Instrumentation-Based Verification.	ASE	Rance Cleaveland, Arnab Ray, Chris Martin, Charles P. Shelton, Iris Morschhaeuser, Christopher Ackermann	
Bundle 3	5242	Making embedded software reuse practical and safe.	SIGSOFT FSE	Nancy G. Leveson, Kathryn Anne Weiss	
Bundle 3	9340	Human-Oriented Conceptual Abstractions in the Re-engineering of Software.	ICSE	Ted J. Biggerstaff	
Bundle 4	1566	Design of Multi-Invariant Data Structures for Robust Shared Accesses in Multiprocessor Systems.	IEEE Trans. Software Eng.	David J. Taylor, Farokh B. Bastani, I-Ling Yen	
Bundle 4	2849	Programming pervasive and mobile computing applications: The TOTA approach.	ACM Trans. Softw. Eng. Methodol.	Franco Zambonelli, Marco Mamei	
Bundle 4	5240	A micro-economic approach to conflict resolution in mobile computing.	SIGSOFT FSE	Wolfgang Emmerich, Licia Capra, Cecilia Mascolo	
Bundle 4	6581	NAVCo: Negotiation-based Adaptive View Coordination.	ASE	Prasanta K. Bose, Mark G. Matthews	
Bundle 4	9480	Software Architecture Based on Communicating Residential Environments.	ICSE	Erik Sandewall, Claes Strömberg, Henrik Sörensen	
Bundle 5	2452	Edmas: An Object-Oriented, Locally Distributed Mail System.	IEEE Trans. Software Eng.	Guy T. Almes, Cara L. Holman	
Bundle 5	2657	Protecting privacy using the decentralized label model.	ACM Trans. Softw. Eng. Methodol.	Barbara Liskov, Andrew C. Myers	
Bundle 5	3207	On the automatic evolution of an OS kernel using temporal logic and AOP.	ASE	Julia L. Lawall, Gilles Muller, Anne-Françoise Le Meur, Rickard A. Åberg, Mario Südholt	
Bundle 5	5382	PSE: explaining program failures via postmortem static analysis.	SIGSOFT FSE	Manu Sridharan, Manuvir Das, Zhe Yang, Roman Manevich, Stephen Adams	
Bundle 5	9736	An Extensible File System for Hydra.	ICSE	Guy T. Almes, George G. Robertson	
Bundle 6	572	Bounding Cache-Related Preemption Delay for Real-Time Systems.	IEEE Trans. Software Eng.	Sang Lyul Min, Seongsoo Hong, Chang Yun Park, Chong-Sang Kim	
Bundle 6	2852	Detection of Linear Errors via Domain Testing.	ACM Trans. Softw. Eng. Methodol.	Steven J. Zeil, Lee J. White, Faten H. Afifi	
Bundle 6	3512	Design Rule Hierarchies and Parallelism in Software Development Tasks.	ASE	Yuanfang Cai, Sunny Wong, Georgi Simeonov, Giuseppe Valetto, Kanwarpreet Sethi	
Bundle 6	5416	Investigation Data Quality Problems in the PSP.	SIGSOFT FSE	Philip M. Johnson, Anne M. Disney	
Bundle 6	9754	Software Requirements Negotiation: Some Lessons Learned.	ICSE	Barry W. Boehm, Alexander Egyed	
Bundle 7	2655	Fault classes and error detection capability of specification-based testing.	ACM Trans. Softw. Eng. Methodol.	D. Richard Kuhn	
Bundle 7	3364	Effective Generation of Interface Robustness Properties for Static Analysis.	ASE	Tao Xie, Mithun Acharya, Tanu Sharma, Jun Xu	
Bundle 7	5124	Progress Toward Automated Software Testing.	ICSE	Richard A. DeMillo	
Bundle 7	5430	LCLint: A Tool for Using Specifications to Check Code.	SIGSOFT FSE	John V. Guttag, James J. Horning, David Evans, Yang Meng Tan	
Bundle 7	6465	Trie Hashing With Controlled Load.	IEEE Trans. Software Eng.	Nick Roussopoulos, Gérald Lévy, Wang Hong, Witold Litwin	
Bundle 8	1	Dynamic Scheduling of Hard Real-Time Tasks and Real-Time Threads.	IEEE Trans. Software Eng.	Karsten Schwan	
Bundle 8	2613	OBSERV - A Prototyping Language and Environment.	ACM Trans. Softw. Eng. Methodol.	Amiram Yehudai, Shmuel S. Tyszberowicz	
Bundle 8	4884	Feature-Based Decomposition of Inductive Proofs Applied to Real-Time Avionics Software: An Experience Report.	ICSE	Bruno Dutertre, Harald Rueß, Murali Rangarajan, Darren D. Cofer, Vu Ha	
Bundle 8	5469	Algebra and Models.	SIGSOFT FSE	C. A. R. Hoare	
Bundle 8	6626	Formal Construction of the Mathematically Analyzed Separation Kernel.	ASE	P. White, A. Goldberg, W. Martin, F. S. Taylor	
Bundle 9		
Bundle 9	2717	An Empirical Study of Static Call Graph Extractors.	ACM Trans. Softw. Eng. Methodol.	Gail C. Murphy, William G. Griswold, David Notkin, Erica S.-C. Lan	
Bundle 9	5267	Semi-automating small-scale source code reuse via structural correspondence.	SIGSOFT FSE	Robert J. Walker, Rylan Cottrell, Jörg Denzinger	
Bundle 9	6737	Automated Data Mapping Specification via Schema Heuristics and User Interaction.	ASE	John C. Grundy, John G. Hosking, Hermann Stoeckle, Sebastian Bossung, Robert Amor	
Bundle 9	9257	A System to Improve incorrect Programs.	ICSE	Harald Wertz	
