Source	Target	Type	id	Weight
1	2	Undirected	1	0.0532802
1	3	Undirected	2	0.118501
1	4	Undirected	3	0.177123
1	5	Undirected	4	0.189352
1	6	Undirected	5	0.19803
1	7	Undirected	6	0.0600206
1	8	Undirected	7	0
1	9	Undirected	8	0.00455372
1	10	Undirected	9	0
2	3	Undirected	10	0.617213
2	4	Undirected	11	0.326781
2	5	Undirected	12	0.415122
2	6	Undirected	13	0.271866
2	7	Undirected	14	0.487416
2	8	Undirected	15	0.396721
2	9	Undirected	16	0.16672
2	10	Undirected	17	0.0926272
3	4	Undirected	18	0.218158
3	5	Undirected	19	0.277778
3	6	Undirected	20	0.218218
3	7	Undirected	21	0.360367
3	8	Undirected	22	0.166667
3	9	Undirected	23	0.22803
3	10	Undirected	24	0.00974597
4	5	Undirected	25	0.350532
4	6	Undirected	26	0.149071
4	7	Undirected	27	0.331364
4	8	Undirected	28	0.0365921
4	9	Undirected	29	0.0160669
4	10	Undirected	30	0.0555446
5	6	Undirected	31	0.2474
5	7	Undirected	32	0.575347
5	8	Undirected	33	0.225374
5	9	Undirected	34	0.188966
5	10	Undirected	35	0.0195523
6	7	Undirected	36	0.624307
6	8	Undirected	37	0.0656635
6	9	Undirected	38	0.144338
6	10	Undirected	39	0.13901
7	8	Undirected	40	0.140851
7	9	Undirected	41	0.265348
7	10	Undirected	42	0.143853
8	9	Undirected	43	0.365148
8	10	Undirected	44	0.0493024
9	10	Undirected	45	0.353553
