Source	Target	Type	id	Weight
1	2	Undirected	1	0
1	3	Undirected	2	0
1	4	Undirected	3	0
1	5	Undirected	4	0
1	6	Undirected	5	0
1	7	Undirected	6	0
1	8	Undirected	7	0.707107
1	9	Undirected	8	0
1	10	Undirected	9	0.707107
2	3	Undirected	10	0
2	4	Undirected	11	0
2	5	Undirected	12	0
2	6	Undirected	13	1
2	7	Undirected	14	1
2	8	Undirected	15	0.707107
2	9	Undirected	16	1
2	10	Undirected	17	0.707107
3	4	Undirected	18	0
3	5	Undirected	19	0
3	6	Undirected	20	0
3	7	Undirected	21	0
3	8	Undirected	22	0
3	9	Undirected	23	0
3	10	Undirected	24	0
4	5	Undirected	25	0
4	6	Undirected	26	0
4	7	Undirected	27	0
4	8	Undirected	28	0
4	9	Undirected	29	0
4	10	Undirected	30	0
5	6	Undirected	31	0
5	7	Undirected	32	0
5	8	Undirected	33	0
5	9	Undirected	34	0
5	10	Undirected	35	0
6	7	Undirected	36	1
6	8	Undirected	37	0.707107
6	9	Undirected	38	1
6	10	Undirected	39	0.707107
7	8	Undirected	40	0.707107
7	9	Undirected	41	1
7	10	Undirected	42	0.707107
8	9	Undirected	43	0.707107
8	10	Undirected	44	1
9	10	Undirected	45	0.707107
