Bundle	ArticleId	Paper	Venue	Author
Bundle 1	36	Learning Communicating Automata from MSCs.	IEEE Trans. Software Eng.	Benedikt Bollig, Martin Leucker, Carsten Kern, Joost-Pieter Katoen	
Bundle 1	2594	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 1	2877	A lightweight approach for program analysis and debugging.	ICSE	M. G. Rakesh	
Bundle 1	2912	DESERT: a decentralized monitoring tool generator.	ASE	Paola Inverardi, Leonardo Mostarda	
Bundle 1	5489	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 2	68	Performance of Storage Management in an Implementation of SNOBOL4.	IEEE Trans. Software Eng.	Ralph E. Griswold, David R. Hanson, G. David Ripley	
Bundle 2	2664	Model checking the Java metalocking algorithm.	ACM Trans. Softw. Eng. Methodol.	Scott A. Smolka, Samik Basu	
Bundle 2	2992	Software design sketching with calico.	ASE	André van der Hoek, Nicolas Mangano, Mitch Dempsey, Alex Baker, Emily Oh Navarro	
Bundle 2	3853	Towards Safe Distributed Application Development.	ICSE	Rachid Guerraoui, Christian Heide Damm, Patrick Th. Eugster	
Bundle 2	5380	Checking Relational Specifications With Binary Decision Diagrams.	SIGSOFT FSE	Daniel Jackson, Craig Damon, Somesh Jha	
Bundle 3	597	GUI Interaction Testing: Incorporating Event Context.	IEEE Trans. Software Eng.	Myra B. Cohen, Atif M. Memon, Xun Yuan	
Bundle 3	2608	Test conditions for fault classes in Boolean specifications.	ACM Trans. Softw. Eng. Methodol.	Jonathan P. Bowen, Kalpesh Kapoor	
Bundle 3	3029	Test suite reduction and prioritization with call trees.	ASE	Mary Lou Soffa, Gregory M. Kapfhammer, Joshua Geiger, Adam M. Smith	
Bundle 3	3551	Experimental program analysis: a new paradigm for program analysis.	ICSE	Joseph R. Ruthruff	
Bundle 3	5276	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 4	57	Interface Grammars for Modular Software Model Checking.	IEEE Trans. Software Eng.	Tevfik Bultan, Graham Hughes	
Bundle 4	2781	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 4	2931	Japanese Workshop on Leveraging Web2.0 Technologies in Software Development Environments (WebSDE).	ASE	Makoto Matsushita, Katsuhisa Maruyama, Shinichiro Yamamoto	
Bundle 4	3669	Architectures and Technologies for Enterprise Application Integration.	ICSE	Ian Gorton, Anna Liu	
Bundle 4	5212	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 5	26	Comments on Program Slicing.	IEEE Trans. Software Eng.	Hareton K. N. Leung, Hassan K. Reghbati	
Bundle 5	2740	Software reuse for scientific computing through program generation.	ACM Trans. Softw. Eng. Methodol.	Martin Erwig, Zhe Fu	
Bundle 5	3097	Automatic Generation of Content Management Systems from EER-Based Specifications.	ASE	Sebastiano Vigna	
Bundle 5	3798	Enhancing Software Testing by Judicious Use of Code Coverage Information.	ICSE	Roland Weber, Stefan Berner, Rudolf K. Keller	
Bundle 5	5213	Automatically locating framework extension examples.	SIGSOFT FSE	Harold Ossher, Barthélémy Dagenais	
Bundle 6	63	On the Optimal Total Processing Time Using Checkpoints.	IEEE Trans. Software Eng.	Zohel Khalil, Boyan Dimitrov, Nikolay Kolev, Peter Petrov	
