Bundle	Author	Affiliation
Bundle 1	Subbarayan Venkatesan	Memorial University of Newfoundland	
Bundle 1	Peter Müller	Swiss Federal Institute of Technology Zurich	
Bundle 1	Yu Wang	University of North Carolina Charlotte	
Bundle 1	Pierre Flener	Uppsala University	
Bundle 1	Susan A. Mengel	European Southern Observatory	
Bundle 2	Demetres D. Kouvatsos	University of Bradford	
Bundle 2	Giuseppe Liotta	Università degli Studi di Perugia	
Bundle 2	Oscar Pastor	Universidad Politécnica de Valencia	
Bundle 2	Charles Zhang	Motorola Inc.	
Bundle 2	Wang Hong	University of Manchester	
Bundle 3	Georgios Gousios	Athens University of Economics and Business	
Bundle 3	Raghavan Komondoor	IBM	
Bundle 3	Henrik Sörensen	University of Pennsylvania	
Bundle 3	Timothy W. Larson	National Aeronautics and Space Administration, United States	
Bundle 3	W. Martin	University of Michigan	
Bundle 4	James P. Huang	The Boeing Company	
Bundle 4	Gerald Meier	Stanford University	
Bundle 4	George G. Robertson	Microsoft	
Bundle 4	Heather L. Oppenheimer	University of Victoria	
Bundle 4	Matthias Hallman		
Bundle 5	Takeshi Ogihara		
Bundle 5	Bruce W. Ballard	Stephens College	
Bundle 5	Steven Woods	Carnegie Mellon University	
Bundle 5	Martin Wirsing	Ludwig Maximilian University of Munich	
Bundle 5	Ragnhild Van Der Straeten	Free University of Brussels	
Bundle 6	Tim J. Hoar	Microsoft	
Bundle 6	Gustavus J. Simmons	Sandia National Laboratories	
Bundle 6	Christopher Ackermann	University of Maryland	
Bundle 6	N. H. Petschenik		
Bundle 6	Andrew Walenstein	University of Louisiana at Lafayette	
Bundle 7	Pierre Lavency		
Bundle 7	Robert B. Terwilliger	University of Colorado Boulder	
Bundle 7	Paolo A. G. Sivilotti	Ohio State University	
Bundle 7	Takao Katayama	Japan Advanced Institute of Science & Technology	
Bundle 7	Eric G. Manning	University of Victoria	
Bundle 8	Ronald Baecker	University of Toronto	
Bundle 8	Ulrich W. Eisenecker	University of Leipzig	
Bundle 8	Kailasam Viswanathan Iyer	National Institute of Technology	
Bundle 8	Witold Litwin	Paris Dauphine University	
Bundle 8	Yun Lu	Southern Illinois University at Edwardsville	
Bundle 9	Mark G. Matthews	The MITRE Corporation	
Bundle 9	Steven L. Cornford	National Aeronautics and Space Administration, United States	
Bundle 9	F. S. Taylor		
Bundle 9	Ulrik Pagh Schultz	University of Southern Denmark	
Bundle 9	Fumiaki Ohata	Osaka University	
Bundle 10	Douglas Cook	University of Exeter	
Bundle 10	Rebeca P. Díaz Redondo		
Bundle 10	Louis Feng	Darmstadt University of Technology	
Bundle 10	Patrick McDaniel	Pennsylvania State University	
Bundle 10	Jon Silverman	Saint Michael's College	
Objetive function	45.4704
