Bundle	Author	Affiliation
Bundle 1	Georg Walter	AG	
Bundle 1	Ivan Mathias Filho	Pontificia Universidade Católica do Rio de Janeiro	
Bundle 1	Toacy Cavalcante de Oliveira	Universidade Federal do Rio de Janeiro	
Bundle 1	Jørgen Staunstrup	Technical University of Denmark	
Bundle 1	David Hildum	Carnegie Mellon University	
Bundle 2	William F. Wilson	Sytek, Inc	
Bundle 2	Mark Aagaard	University of Waterloo	
Bundle 2	T. T. Kadota	Waseda University	
Bundle 2	Larry A. Shepp	Rutgers, The State University of New Jersey	
Bundle 2	Avik Sinha	IBM	
Bundle 3	Giorgio C. Buttazzo	Scuola Superiore Sant'Anna	
Bundle 3	Marco Caccamo	University of Illinois Urbana Champaign	
Bundle 3	Jeong A. Kang		
Bundle 3	Reg G. Willson	National Aeronautics and Space Administration, United States	
Bundle 3	Bruce H. Krogh	Carnegie Mellon University	
Bundle 4	Daniel R. Ries		
Bundle 4	Tracy Camp	Colorado School of Mines	
Bundle 4	Phil Kearns	College of William & Mary	
Bundle 4	Krishnaiyan Thulasiraman	University of Oklahoma	
Bundle 4	Andrea Savigni	University College London	
Bundle 5	James A. Hager	Pennsylvania State University	
Bundle 5	Bruce I. Blum	Johns Hopkins University	
Bundle 5	Walid Maalej	Technical University Munich	
Bundle 5	Martin Pinzger 0002	Universität Zürich	
Bundle 5	Georgios Gousios	Athens University of Economics and Business	
Bundle 6	Eugenio Capra	Politecnico di Milano	
Bundle 6	Christian Seybold	Universität Zürich	
Bundle 6	Kwang-Il Ko	Stony Brook University	
Bundle 6	Theodore Hammer		
Bundle 6	Lei Bian	Nanjing University of Science & Technology	
Bundle 7	John L. Clevenger	University of California Davis	
Bundle 7	Paolino Di Felice	Università degli Studi dell'Aquila	
Bundle 7	Wamberto Weber Vasconcelos	University of Aberdeen	
Bundle 7	Marc Esteva	Consejo Superior de Investigaciones Científicas	
Bundle 7	Jon Bowyer	University of Dundee	
Bundle 8	C. Russel Szelag	University of Wisconsin Milwaukee	
Bundle 8	Stefanos Gritzalis	University of the Aegean	
Bundle 8	Sokratis K. Katsikas	University of Piraeus	
Bundle 8	Qing Yang	National Research Council Canada	
Bundle 8	Ragnhild Van Der Straeten	Free University of Brussels	
Bundle 9	N. Vasudevan	IBM	
Bundle 9	Marcus Oppitz	Technische Universitat Wien	
Bundle 9	Nick Cercone	York University	
Bundle 9	Mimi Kao	University of Waterloo	
Bundle 9	Jeffrey A. Hoffer	Los Alamos National Laboratory	
Bundle 10	Stanley Lee		
Bundle 10	Kasper Østerbye	IT University of Copenhagen	
Bundle 10	I. Robert Chiang	N Clark St	
Bundle 10	Chi Y. Lin	National Tsing Hua University Taiwan	
Bundle 10	Thomas Ellman	Vassar College	
Objetive function	83.5
